Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_00FD2KMP	0.0603753432642787	0	0	0.285046761427508	0.146507105077958	0	0	0.364281245128226	0	0	0	0.126296351261882	0.952347054296985	0	0	1.54585060574316	0	0	0	0.426282098099431	0	0	0.62	-0.0037241762335856	1.10178575609389	3.90698656429942
BS_028YFYJ6	0	0.463138613395232	0	0.274262903062553	0	1.25564217109935	0	0.07599193319034	0	0	0.383931690040151	0.166346740953752	0.678537516115548	0	0	2.57267098113689	0	0.0277077416365497	0.437739870563971	0	0.0123279208765163	0.025387138658509	0.03	0.181047841729424	1.01068013203829	6.37368522072937
BS_052PZFMK	0	0	0.00772210074779814	0.147159453639517	0	0.382228681306783	0	0.173537789581523	0	0	0	0.175191563759193	0.00536506029379885	0	0	1.38435142603691	0	0	0.412267088692686	0	0	0.0130981411241363	0.72	-0.0109845202535701	1.10139749367265	2.70092130518234
BS_056Q8577	0.00672190723526207	0	0	0	0	0.390673247694985	0	1.9211333489647	0	0	0	0.836000838605906	1.92131596852923	0	0.197674990033181	7.14709064499637	0	0	0.108279076011562	0	1.27074529462746	0	0.41	0.0357757669839337	1.09105156042953	13.7996353166987
BS_08ST21QE	0.0592752238922202	0.165510744108149	0	0.255093958065275	0	0.0883838145155564	0	0.0401607161774761	0	0	0	0	0.326919625236902	0.0498949093545686	0.0642581302404835	3.36956948183899	0	0	0.0145483004187757	0	0	0.0255405664011241	0.02	0.253576068355114	1.01948682247505	4.45915547024952
BS_0C7VZC0A	0.0566001752658524	0	0	0.0430038797180907	0	0.731324921606386	0	0.13208376165301	0.0526363852728067	0	0.199737675754453	0.174882661665416	0.163786475655206	0	0	1.06879989974205	0	0	0.313547773202171	0	0	0.0250551236699291	0.44	0.0279100746894442	1.07539111691409	2.96145873320537
BS_0S8E7590	0	0.0969030146601032	0	1.23157198322754	0	2.92108294157956	0	1.27000253768155	0	0	2.14412616090407	0.444616684718748	1.7012768034081	0.542754660082633	1.5647243051591	0	0	0	0.509980563444649	0	0	3.49785477891514	0.42	0.0347666039656482	1.10656253162981	15.9248944337812
BS_0VXZCRJS	0.106306426474977	0.0110787276564636	0	0.711533241467003	0	2.08921706332757	0	0.203860490974884	0.0705146386017926	0	1.37810555418081	0.280126592128778	1.37467109592121	0	0	2.41536392532375	0	0	1.34810810531145	0	0.0195208767158287	0.268215142913568	0.54	0.00794817923125065	1.08213885100424	10.2766218809981
BS_0XEBS3PG	0.0145160236145811	0.0497420761882076	0	0.0895238360058491	0	0.608604047612924	0	0	0	0	0.274054461144732	0	1.18974253418779	0	0.00560500969566338	1.08225865014463	0	0	0.284355060892691	0	0.0777401807834743	0.0197506341248509	0.15	0.0905684938858759	1.05439007190911	3.69589251439539
BS_0ZA67BBC	0	0.175180524012921	0.0364115696714367	0.0713641768668188	0	0.886204636567396	0	0.128880609563691	0	0	0.214905451700061	0.234884970631214	2.03511001338647	0	0	0.689671571328881	0	0.0143441289090957	0	2.2971312584144	0.109577115819016	0	0.01	0.264078050591532	1.00049195931645	6.8936660268714
