Variable	DMG H3 K27-altered (n=175)	DHG H3 G34-mutant (n=31)	pHGG H3/IDH-wildtype (n=125)	Infant-type hemispheric glioma (n=18)	Total (n=349)
Samples, n					
Independent-primary biospecimens	175	31	125	18	349
Unique patients	175	31	125	18	349
Age at diagnosis, years					
Median [IQR]	7.9 [5.5–11.2]	15.7 [13.5–17.9]	9.5 [6.0–13.7]	0.4 [0.1–0.9]	8.8 [5.5–12.5]
Range	1.9–18.4	10.4–19.4	0.2–20.0	0.0–1.3	0.0–20.0
Age (n missing)	10	10	16	0	36
Developmental age group, n (%)					
  Infant (<1 yr)	0 (0%)	0 (0%)	4 (3%)	18 (100%)	22 (6%)
  Young child (1–4 yr)	32 (18%)	0 (0%)	14 (11%)	0 (0%)	46 (13%)
  Child (5–11 yr)	101 (58%)	1 (3%)	55 (44%)	0 (0%)	157 (45%)
  Adolescent (≥12 yr)	32 (18%)	20 (65%)	36 (29%)	0 (0%)	88 (25%)
Sex, n (%)					
  Male	75 (43%)	16 (52%)	70 (56%)	9 (50%)	170 (49%)
  Female	97 (55%)	15 (48%)	55 (44%)	9 (50%)	176 (50%)
  Unknown/Not reported	3 (2%)	0 (0%)	0 (0%)	0 (0%)	3 (1%)
Tumor location, n (%)					
  Midline	118 (67%)	0 (0%)	22 (18%)	0 (0%)	140 (40%)
  Hemispheric	3 (2%)	24 (77%)	62 (50%)	15 (83%)	104 (30%)
  Posterior fossa	5 (3%)	0 (0%)	9 (7%)	0 (0%)	14 (4%)
  Ambiguous (pineal/suprasellar/etc.)	43 (25%)	2 (6%)	26 (21%)	3 (17%)	74 (21%)
  Other / not annotated	6 (3%)	5 (16%)	6 (5%)	0 (0%)	17 (5%)
Molecular subtype, n (%)					
  H3 K28-altered (formerly K27-altered)	175 (100%)	0 (0%)	0 (0%)	0 (0%)	175 (50%)
    with TP53 alteration	97 (55%)	0 (0%)	0 (0%)	0 (0%)	97 (28%)
  H3 G35-mutant (formerly G34-mutant)	0 (0%)	31 (100%)	0 (0%)	0 (0%)	31 (9%)
    with TP53 alteration	0 (0%)	23 (74%)	0 (0%)	0 (0%)	23 (7%)
  H3/IDH wildtype HGG	0 (0%)	0 (0%)	125 (100%)	4 (22%)	129 (37%)
    with TP53 alteration	0 (0%)	0 (0%)	48 (38%)	1 (6%)	49 (14%)
  Infant-type, NTRK/ROS1/MET/ALK-altered	0 (0%)	0 (0%)	0 (0%)	7 (39%)	7 (2%)
  Other / to be classified	0 (0%)	0 (0%)	0 (0%)	4 (22%)	4 (1%)
Driver alteration flags, n					
  has_braf_fusion (any)	2	1	4	1	8
  has_ihg_fusion (NTRK/ROS1/MET/ALK)	31	4	17	18	70
Survival data availability, n (%)					
  OS days available	140 (80%)	15 (48%)	82 (66%)	14 (78%)	251 (72%)
  Events (deceased)	134 (77%)	13 (42%)	57 (46%)	5 (28%)	209 (60%)
Immune ecotype (this study, k=3), n (%)					
  Lymphocyte-inflamed	64 (37%)	4 (13%)	36 (29%)	7 (39%)	111 (32%)
  Myeloid-dominant	87 (50%)	10 (32%)	55 (44%)	8 (44%)	160 (46%)
  Immune-desert	24 (14%)	17 (55%)	34 (27%)	3 (17%)	78 (22%)
  Not assigned / missing	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
