sample	PC1	PC2	ecotype	ecotype_k3	ecotype_k2
BS_00FD2KMP	-2.872304732178631	0.9798093764930524	Immune-desert	Immune-desert	Immune-desert
BS_028YFYJ6	-0.1976903711726914	-0.6142557626487113		Myeloid-dominant	Immune-desert
BS_052PZFMK	-5.989437264024558	-0.3157364335622842	Immune-desert	Immune-desert	Immune-desert
BS_056Q8577	1.5608202699050813	1.6352975416776914	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_08ST21QE	3.0113047519539826	0.1156040788116787	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_0C7VZC0A	-2.230251975638363	1.908511020807636		Myeloid-dominant	Immune-desert
BS_0S8E7590	5.222245379960686	-3.811322711026342	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_0VXZCRJS	-1.488914368357725	0.5582155715724695		Myeloid-dominant	Immune-desert
BS_0XEBS3PG	-4.126749867978585	1.80168700392631	Immune-desert	Immune-desert	Immune-desert
BS_0ZA67BBC	-2.734670252673139	3.5242096989909317		Myeloid-dominant	Immune-desert
BS_12G04QJM	-1.7225262298185195	-2.356529995140824		Myeloid-dominant	Immune-desert
BS_17ZSMXFH	-3.508726880850594	-3.5929096489383885	Immune-desert	Immune-desert	Immune-desert
BS_1A6MQ9ZA	0.3021916216470285	-1.6415155423146033		Myeloid-dominant	Immune-active
BS_1D93Z575	0.5124429061058373	-0.2241317064710515		Myeloid-dominant	Immune-active
BS_1EN5V3XW	-5.055375744740502	1.752526602447451	Immune-desert	Immune-desert	Immune-desert
BS_223BM91B	4.742374983681753	-0.3572600474446971	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_25HNKZ79	4.285890324186088	-0.9035418619088244	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2853394H	-4.896575730007836	0.5492865106631423	Immune-desert	Immune-desert	Immune-desert
BS_297H8BT4	2.319808549502064	-1.1523234328463223		Myeloid-dominant	Immune-active
BS_29X4ZX6Q	-4.268374358106776	-0.8054624857666073	Immune-desert	Immune-desert	Immune-desert
BS_2A5R9MEJ	-5.419023862741547	2.3336457317636183	Immune-desert	Immune-desert	Immune-desert
BS_2ARXK0TD	4.090548597956098	-0.8587983456105545	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2AV1H5TV	-0.6675824152602641	0.1075779055164449		Myeloid-dominant	Immune-desert
BS_2DMBCHNF	5.470019584427925	-2.169605166609992	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2EN3X6HB	1.7381328059184835	1.2429908510177503		Myeloid-dominant	Immune-active
BS_2FEZWH1F	5.380034852022808	-1.6151428481521817	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2HNXVFAS	-1.7580520566945088	0.0740641215326233		Myeloid-dominant	Immune-desert
BS_2JH1QMT1	-0.8698147943121857	2.595905416682328		Myeloid-dominant	Immune-desert
BS_2JP7RBMB	-1.3355611120400417	0.7156941611209631		Myeloid-dominant	Immune-desert
BS_2K01T8K6	3.2749652649316885	-1.4790174991842766	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2PDS3MSS	2.449187283109153	0.1141468016830636	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_2T5PJAW8	1.977426857282509	1.8228881961288104		Myeloid-dominant	Immune-active
BS_2WANPFBJ	2.7556058137383075	-1.007950084690932	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_30F3Z9FS	2.375190334007729	2.1609714956086328	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_30VC3R2Q	-1.50590365888492	0.785444248031086		Myeloid-dominant	Immune-desert
BS_30YWQ3FY	2.529310184783943	-2.12693215946625	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_31MBRWC4	2.9108634432895157	0.0976621884157482	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_333KCNDP	6.692358532017339	-1.7762812712547345	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_399RPKC9	-0.5701548700722573	2.178162660687407		Myeloid-dominant	Immune-desert
BS_3AC3SRWH	-4.770227576039211	0.1656020004823752	Immune-desert	Immune-desert	Immune-desert
BS_3MS8WVNR	-4.4758006680435	2.3041042522252115	Immune-desert	Immune-desert	Immune-desert
BS_3ZPJAK9A	-1.6898076055830114	-1.833941229316522		Myeloid-dominant	Immune-desert
BS_45J79YTF	-7.114366693541733	1.6938022095437666	Immune-desert	Immune-desert	Immune-desert
BS_49BQS7Z6	-1.804903616180727	1.6019093895632135		Myeloid-dominant	Immune-desert
BS_49CJNZ06	-2.8511162485286032	0.0016843991413695		Myeloid-dominant	Immune-desert
BS_4B0BAVTX	1.6693339275177344	2.5557655198427303		Myeloid-dominant	Immune-active
BS_4BM3F6XJ	0.5845219130895472	-1.4717534014219185		Myeloid-dominant	Immune-active
BS_4C6B11E4	3.7490026572289024	-0.2346913808727755	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_4GNN7J8E	7.760620985716493	1.4174016841338095	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_4KNBXM3C	4.70440502652156	-2.791889708871761	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_4Q3KRCZT	4.524621751655997	-0.1460733333484111	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_4QW2S1Q8	3.704838839692465	1.6772111082331784	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_4T0HQ9QF	-1.0389033984774332	-1.20394577394833		Myeloid-dominant	Immune-desert
BS_4V42BXBT	-0.5825090265388658	2.229593574525905		Myeloid-dominant	Immune-desert
BS_51RA1PGE	0.0064544844406945	-1.0882729493348702		Myeloid-dominant	Immune-desert
BS_52C576HH	-1.5633036580485626	0.0492922688686576		Myeloid-dominant	Immune-desert
