gene	KW_H	p	eps2	med_Inflamed	med_Intermediate	med_Immunedesert	q_BH
CD14	218.2805376544535	3.990097379475116e-48	0.6250882591169176	7.009660689646706	4.873321062914816	3.2433644256936605	4.788116855370139e-47
HLA-DRA	209.24925828169555	3.648386944422638e-46	0.5989862956118368	9.094156879932331	7.205939832470884	5.106850796450224	2.189032166653583e-45
CD68	204.5399027422376	3.8434784910893605e-45	0.5853754414515537	7.376689764515653	5.036942844798256	3.5160151470036647	1.5373913964357442e-44
CD3E	175.55123414471552	7.577638097105586e-39	0.5015931622679639	1.6369145803558778	0.5558161550616397	0.12432813500220177	2.2732914291316757e-38
PTPRC	163.7618179868127	2.751522388665816e-36	0.46751970516419855	4.79960542245267	2.877744249949002	2.0738202332916713	6.603653732797958e-36
CD163	122.69766344061847	2.2726937240207286e-27	0.3488371775740418	6.11332544304199	3.7420062108667365	2.0840642647884744	4.545387448041457e-27
CSF1R	122.09880952577429	3.0660581549140854e-27	0.3471063859126424	5.928133407829852	4.44028782084042	3.423578170981797	5.256099694138432e-27
GZMB	119.67826708064946	1.0284768049223097e-26	0.3401105984989869	0.8318772411916731	0.29865831556451516	0.070389327891398	1.5427152073834646e-26
CXCL10	117.79547694547577	2.6365571207047805e-26	0.33466900851293574	2.3923174227787602	1.0356239097307212	0.28688114778816154	3.5154094942730406e-26
CXCL9	96.51457468416346	1.1018599447695722e-21	0.27316351064787125	0.6040713236688608	0.21412480535284734	0.070389327891398	1.3222319337234866e-21
CD8A	79.20619832830155	6.318188325720824e-18	0.2231393015268831	1.1699250014423124	0.6690267655096306	0.23878685958711648	6.8925690826045354e-18
IFNG	71.52024253732557	2.9483338649128936e-16	0.20092555646625887	0.04264433740849372	0.0	0.0	2.9483338649128936e-16
