axis	method_A	method_B	spearman_rho	n
CD8 T	LM22	xCell	0.005721679870784613	349
CD8 T	LM22	quanTIseq	0.30815301357545455	349
CD8 T	LM22	MCP	0.3983911271395796	349
CD8 T	quanTIseq	xCell	0.17001596762598978	349
CD8 T	MCP	xCell	0.06001026230233756	349
CD8 T	MCP	quanTIseq	0.38266316062309114	349
CD8 T	EPIC	LM22	0.05003553817434092	349
CD8 T	EPIC	xCell	0.12067629235197645	349
CD8 T	EPIC	quanTIseq	0.1395592062903684	349
CD8 T	EPIC	MCP	0.186548107602989	349
NK	LM22	xCell	0.04025284886520947	349
NK	LM22	quanTIseq	0.019714319509456235	349
NK	LM22	MCP	-0.08562762227489626	349
NK	quanTIseq	xCell	-0.04087757043955987	349
NK	MCP	xCell	-0.04671371972059919	349
NK	MCP	quanTIseq	0.45301437645571985	349
Macrophage	LM22	xCell	0.37194552550048776	349
Macrophage	LM22	MCP	0.09810888252148996	349
Macrophage	MCP	xCell	0.5053728218389868	349
Macrophage	EPIC	LM22	0.287861447908874	349
Macrophage	EPIC	xCell	0.7812930181942231	349
Macrophage	EPIC	MCP	0.7610430928620829	349
Monocyte	LM22	xCell	0.03769365186071903	349
