	CD8 T cells	CD4 T cells	Tregs / γδ	B cells	NK cells	Monocytes / Macrophages	Dendritic cells	Granulocytes	ecotype
BS_00FD2KMP	0.07295821389102228	0.1307371657925767	0.0	0.015453174018043941	0.032325770560853846	0.6394180320116106	0.0	0.10910764372589254	Immune-desert
BS_028YFYJ6	0.04303050645967864	0.20892687011883948	0.0	0.07266418051035058	0.08633599117888863	0.5100986924610613	0.004347208981459397	0.0745965502897221	Intermediate
BS_052PZFMK	0.05448490978139844	0.20576922023679062	0.0	0.0028590617331136067	0.0648636313183384	0.5145342382483394	0.0	0.15748893868201946	Immune-desert
BS_056Q8577	0.0	0.16752664426299843	0.0	0.000487107599657214	0.06058137185656483	0.6714729332264371	0.0	0.09993194305434237	Inflamed
BS_08ST21QE	0.057206787197083483	0.028827102250785518	0.0	0.0504099867116297	0.0	0.8545658863196606	0.0	0.008990237520840815	Inflamed
BS_0C7VZC0A	0.014521181482594873	0.29154844319740875	0.0177738033904106	0.019112262018451467	0.12649858436973532	0.4162092017615762	0.0	0.11433652377982291	Intermediate
BS_0S8E7590	0.07733627298746976	0.2631782268126459	0.0	0.006085002011350516	0.16255949804799735	0.23916992256918124	0.0	0.2516710775713552	Inflamed
BS_0VXZCRJS	0.06923804823282041	0.22313534358430104	0.006861655456271792	0.01142254288332733	0.16135965354293422	0.3688016417391884	0.0	0.15918111456115677	Intermediate
BS_0XEBS3PG	0.024222521530903932	0.16467038617666205	0.0	0.017386355136818854	0.07415109072498668	0.6162533637428236	0.0	0.10331628268780482	Immune-desert
BS_0ZA67BBC	0.010352137250142722	0.14724897350325658	0.0	0.03069369662811849	0.06524691224930235	0.39525871634834003	0.0020807693400264116	0.34911879468081347	Intermediate
BS_12G04QJM	0.0879862519025445	0.03801384152327406	0.008008395687398836	0.00047612718998196773	0.0	0.5045441025382371	0.019134755690881834	0.34183652546768184	Intermediate
BS_17ZSMXFH	0.07973091472614091	0.15727021319861095	0.0	0.13714755888464442	0.12187128621787513	0.3129620424999031	0.0	0.19101798447282525	Immune-desert
BS_1A6MQ9ZA	0.017464231306795037	0.014597607568487608	0.0	0.004409275036258223	0.011126740187914586	0.7076817257751675	0.0	0.24472042012537715	Intermediate
BS_1D93Z575	0.03240312740371237	0.11308580599498819	0.0	0.0010084529652551423	0.0944991736076358	0.65252858534454	0.00846414588011639	0.09801070880375204	Intermediate
BS_1EN5V3XW	0.01311817120895571	0.1723663833498587	0.0	0.007348826113076108	0.09566212717790905	0.6213326996265894	0.0024486527538284137	0.08772313976978265	Immune-desert
BS_223BM91B	0.0	0.3101434440940095	0.005710294277616331	0.005657282167058467	0.02925562802471914	0.5666099407906358	0.0	0.08262341064596093	Inflamed
BS_25HNKZ79	0.014093329688612224	0.009043783571098443	0.0	0.05416926024095538	0.003738798380616747	0.8281704304400554	0.0	0.09078439767866196	Inflamed
BS_2853394H	0.10874758622829905	0.035905592757412425	0.0	0.034934075228569145	0.02724050400678182	0.42317075976036916	0.0	0.3700014820185684	Immune-desert
BS_297H8BT4	0.0267714138653294	0.22924798985378037	0.006329893486852559	0.02810602247644425	0.18240298082758838	0.4333387817278045	0.002765738184076597	0.09103717957812389	Intermediate
BS_29X4ZX6Q	0.1114403540633548	0.17326524916127442	0.01123348690717724	0.01857304990250207	0.049289013821549384	0.4278832532569442	0.0	0.20831559288719798	Immune-desert
BS_2A5R9MEJ	0.02785403152036027	0.3588611835078312	0.01592251770905401	0.006580609768726959	0.18664812474029013	0.1907385854106642	0.003047721276512062	0.21034722606656117	Immune-desert
BS_2ARXK0TD	0.0	0.1476935736768609	0.0	0.08587063262027395	0.015189818126533024	0.41961576960582914	0.020718690468113515	0.31091151550238944	Inflamed
BS_2AV1H5TV	0.017777177382705962	0.10670470906012591	0.0	0.06912012968876509	0.05528204933593172	0.49195011852713477	0.0018762069998544647	0.257289609005482	Intermediate
BS_2DMBCHNF	0.0	0.08675329300397158	0.0597602580225648	0.016623096254432167	0.09869819935111465	0.6756954315659948	0.0	0.06246972180192203	Inflamed
BS_2EN3X6HB	0.04772693337459498	0.31239169250292975	0.0	0.008414456428601924	0.11091937851381072	0.47471837058901756	0.003181686914303566	0.04264748167674147	Intermediate
