sample,microglia,mdm,mg_mdm_ratio,ecotype,cohort_group
BS_00FD2KMP,0.753989111860987,0.583649374752646,0.170339737108341,Immune-desert,pHGG_WT
BS_028YFYJ6,0.738331813864066,0.789602909308679,-0.0512710954446131,Intermediate,pHGG_WT
BS_052PZFMK,0.612401189403378,0.575113855498086,0.0372873339052919,Immune-desert,DHG_G34
BS_056Q8577,0.783159659676243,0.623783832924538,0.159375826751705,Inflamed,DHG_G34
BS_08ST21QE,0.784040556973049,0.786661378023999,-0.00262082105095007,Inflamed,pHGG_WT
BS_0C7VZC0A,0.82753314776318,0.630495115294973,0.197038032468207,Intermediate,pHGG_WT
BS_0S8E7590,0.707708354788258,0.755380173313078,-0.0476718185248201,Inflamed,DMG_K27
BS_0VXZCRJS,0.789379657150159,0.616941722660989,0.17243793448917,Intermediate,DMG_K27
BS_0XEBS3PG,0.824071500260368,0.54716234630407,0.276909153956298,Immune-desert,IHG
BS_0ZA67BBC,0.865306230215444,0.593349229318535,0.271957000896909,Immune-desert,DMG_K27
BS_12G04QJM,0.680256545738581,0.657524268742507,0.0227322769960739,Intermediate,pHGG_WT
BS_17ZSMXFH,0.714791710033834,0.552122897967755,0.162668812066079,Intermediate,pHGG_WT
BS_1A6MQ9ZA,0.718320913760622,0.726126316328822,-0.00780540256819995,Intermediate,DMG_K27
BS_1D93Z575,0.734762835335829,0.723322173708663,0.011440661627166,Intermediate,DMG_K27
BS_1EN5V3XW,0.694286272708214,0.577560018042908,0.116726254665306,Immune-desert,DHG_G34
BS_223BM91B,0.78494570103134,0.798907513236236,-0.013961812204896,Inflamed,DMG_K27
BS_25HNKZ79,0.827188978623468,0.80594856537336,0.0212404132501079,Inflamed,IHG
BS_2853394H,0.697739975855062,0.506893789384411,0.190846186470651,Immune-desert,DMG_K27
BS_297H8BT4,0.777040511534504,0.75697335428301,0.020067157251494,Inflamed,DMG_K27
BS_29X4ZX6Q,0.70353669675895,0.645662006971839,0.0578746897871111,Immune-desert,pHGG_WT
BS_2A5R9MEJ,0.798271733972244,0.476250088542959,0.322021645429285,Immune-desert,DMG_K27
BS_2ARXK0TD,0.805786439136106,0.756363085265566,0.0494233538705401,Inflamed,DMG_K27
BS_2AV1H5TV,0.75005793624344,0.65436464548264,0.0956932907608,Intermediate,DMG_K27
BS_2DMBCHNF,0.783289322936884,0.820380117342285,-0.037090794405401,Inflamed,IHG
BS_2EN3X6HB,0.827835273999141,0.766611486737988,0.0612237872611531,Intermediate,pHGG_WT
BS_2FEZWH1F,0.783552730757326,0.825941726312415,-0.042388995555089,Inflamed,DMG_K27
BS_2HNXVFAS,0.760705358819346,0.699326990614661,0.061378368204685,Intermediate,DMG_K27
BS_2JH1QMT1,0.859164952977022,0.584111030855185,0.275053922121837,Intermediate,pHGG_WT
BS_2JP7RBMB,0.846284915273055,0.629201739650091,0.217083175622964,Intermediate,DMG_K27
BS_2K01T8K6,0.777821502027374,0.777695296236523,0.000126205790850986,Inflamed,DMG_K27
BS_2PDS3MSS,0.767849176864007,0.749292992134672,0.018556184729335,Intermediate,DMG_K27
BS_2T5PJAW8,0.852722557569962,0.695677605310482,0.15704495225948,Intermediate,pHGG_WT
BS_2WANPFBJ,0.728361210853024,0.795158437298224,-0.0667972264452,Inflamed,DMG_K27
BS_30F3Z9FS,0.826859820359548,0.635707420421937,0.191152399937611,Inflamed,DMG_K27
BS_30VC3R2Q,0.80571853138769,0.712194690047754,0.093523841339936,Intermediate,DMG_K27
BS_30YWQ3FY,0.802699823418267,0.778347131196153,0.024352692222114,Inflamed,DMG_K27
BS_31MBRWC4,0.8049456571919,0.714251994356735,0.090693662835165,Inflamed,pHGG_WT
BS_333KCNDP,0.843369175543563,0.851363043775681,-0.0079938682321179,Inflamed,DMG_K27
BS_399RPKC9,0.834038255360946,0.64362713300612,0.190411122354826,Intermediate,DMG_K27
BS_3AC3SRWH,0.706047003513894,0.511893799868305,0.194153203645589,Immune-desert,pHGG_WT
BS_3MS8WVNR,0.802218015166305,0.49389539583907,0.308322619327235,Immune-desert,DHG_G34
BS_3ZPJAK9A,0.781533276458946,0.647855049843192,0.133678226615754,Intermediate,DMG_K27
BS_45J79YTF,0.746032549333025,0.529127881864656,0.216904667468369,Immune-desert,pHGG_WT
BS_49BQS7Z6,0.811865835964318,0.606243750514457,0.205622085449861,Intermediate,pHGG_WT
BS_49CJNZ06,0.689255673748975,0.700770808698552,-0.011515134949577,Immune-desert,DMG_K27
BS_4B0BAVTX,0.878854083524458,0.706575989294677,0.172278094229781,Intermediate,DMG_K27
BS_4BM3F6XJ,0.754987517228065,0.688506090912466,0.0664814263155991,Intermediate,pHGG_WT
BS_4C6B11E4,0.867702658810667,0.828624436378821,0.039078222431846,Inflamed,DMG_K27
BS_4GNN7J8E,0.898836145616657,0.774642897864548,0.124193247752109,Inflamed,IHG
BS_4KNBXM3C,0.824723407742474,0.842600003397056,-0.017876595654582,Inflamed,DMG_K27
BS_4Q3KRCZT,0.872366622044747,0.802698674714951,0.069667947329796,Inflamed,pHGG_WT
BS_4QW2S1Q8,0.858195353141888,0.703968278713555,0.154227074428333,Inflamed,DMG_K27
BS_4T0HQ9QF,0.645652897435371,0.640185244528994,0.00546765290637707,Intermediate,DMG_K27
BS_4V42BXBT,0.865327193816488,0.706441473661553,0.158885720154935,Intermediate,pHGG_WT
BS_51RA1PGE,0.713947145697563,0.704972738055239,0.00897440764232405,Intermediate,DMG_K27
BS_52C576HH,0.752468382276177,0.685395949723532,0.0670724325526449,Intermediate,IHG
BS_5965SFPZ,0.804479762583216,0.541932928514413,0.262546834068803,Immune-desert,DMG_K27
BS_5EFYPZT0,0.637721872269278,0.740506439644216,-0.102784567374938,Intermediate,DHG_G34
BS_5G5BD2MD,0.884051842394969,0.839637151657749,0.04441469073722,Inflamed,pHGG_WT
BS_5K95FX4C,0.849229656105986,0.801923729216996,0.0473059268889901,Inflamed,pHGG_WT
BS_5KBXD2GQ,0.693934753640843,0.712701783649015,-0.018767030008172,Intermediate,DMG_K27
BS_5PXZ8F7W,0.746382675676915,0.631764722375283,0.114617953301632,Intermediate,DMG_K27
BS_5VPM0F36,0.929045744067453,0.772799353843928,0.156246390223525,Inflamed,DMG_K27
BS_62SW4CC5,0.754851234973608,0.82563591425035,-0.070784679276742,Inflamed,pHGG_WT
BS_65WPD3DA,0.798653965468326,0.56365465114104,0.234999314327286,Intermediate,pHGG_WT
BS_68KX6A42,0.884907096753753,0.671054303332677,0.213852793421076,Inflamed,DMG_K27
BS_6DCSD5Y6,0.64025439370008,0.615313775852028,0.024940617848052,Immune-desert,DMG_K27
BS_6H4Q24WA,0.852250900905347,0.760911224345912,0.0913396765594351,Inflamed,DMG_K27
BS_6M2053M0,0.87459631949457,0.625783498843978,0.248812820650592,Intermediate,DMG_K27
BS_6SY64H5J,0.819895736412287,0.81978056446259,0.000115171949697013,Inflamed,DMG_K27
BS_6VRG1XFB,0.711309987602397,0.694808766068808,0.016501221533589,Intermediate,pHGG_WT
BS_6WP1FHTE,0.834691483671653,0.704200293594151,0.130491190077502,Intermediate,DMG_K27
BS_7327SDAQ,0.805915595832753,0.650457962839159,0.155457632993594,Intermediate,pHGG_WT
