sample,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
BS_00FD2KMP,0.0282260645053133,0.0292491979335197,7.68022122379321e-10,0,0.302663117828171
BS_014EVM2D,0.0585175207045769,0.0185458450023706,2.72226263531537e-09,0,0.337779019741603
BS_028YFYJ6,0.00707294104579594,0.0307761709403016,4.52645190473144e-09,1.33880384506337e-17,0.304439840900169
BS_044XZ8ST,0.0159586332552886,0.0240151919240218,8.99258987920896e-10,7.67907012206797e-18,0.206509989334098
BS_052PZFMK,0.0124034832218577,0.0134860758285996,5.44076803542268e-10,0,0.177513337911158
BS_056Q8577,0.110188266186024,0.0672313942330877,1.80075411880443e-10,1.31538266088049e-17,0.269937711191205
BS_063ERW0R,0.0420763699106281,0.0218872761612466,6.38971841932206e-10,9.28354418197694e-18,0.17852182238389
BS_06AMMCXR,0.0262664032792853,0.00995194055995885,1.98619466286484e-10,1.42708501182906e-17,0.324796576179556
BS_08ST21QE,0.0243396828617,0.00832607610724688,3.70818233700485e-09,0,0.348585481045334
BS_08TWG4K0,0.218579324988276,0.00592476537825729,5.34683121028634e-07,0,0.563453321422721
BS_0C7VZC0A,0.0213058493604558,0.0140677677795944,1.77118168397062e-10,2.35441552507961e-18,0.201779458155352
BS_0D5VRAKC,0.101764860424396,0.0454843746961035,1.36271672744242e-08,0,0.405082582867501
BS_0J9SHHSC,0.0455163837350516,0.0225082252187954,1.32818256347185e-09,0,0.303947613465592
BS_0S8E7590,0.174579004054006,0.0665633381362245,2.62941127333523e-09,0,0.387263335796143
BS_0SCXXM6N,0.0820272902944714,0.0236133190763083,1.34047236766543e-09,0,0.375431586919062
BS_0TDWG2CV,0.0382797099104709,0.0143554829924009,5.14937848827698e-09,0,0.422671064566463
BS_0VXZCRJS,0.0339078887182987,0.0199854888658616,3.24933353995094e-10,0,0.262136495511848
BS_0WVJYM9R,0.0142329083146598,0.0157915228296293,2.17226938953043e-09,0,0.211085145981868
BS_0X9EGHY2,0.0650742561364798,0.0298282729356639,8.95192906981662e-09,0,0.340894992387893
BS_0XEBS3PG,0.0310991058254234,0.0688767875517974,6.51211729126992e-11,0,0.255779897508047
BS_0Y5J2AQ4,0.0209518550943889,0.0514043010359496,2.89066056754975e-08,0,0.402495334729233
BS_0ZA67BBC,0.104971522282342,0.0515797508841845,4.29616961055874e-09,4.66561648428351e-17,0.185521105604939
BS_12G04QJM,0.0236292280487521,0.0228492827607927,1.30664582679523e-09,0,0.330898173115851
BS_13CGKADW,0.0360167172794444,0.0225685042923025,1.32653504515256e-09,0,0.228336025562728
BS_166N7SZQ,0.0220403465800579,0.0269753032018289,1.81042486587172e-09,3.2892729717772e-17,0.295665762484049
BS_17WYVEEC,0.00179441162213376,0.0204281801417966,7.34739117128779e-11,8.46597370917076e-18,0.183953453237419
BS_17ZSMXFH,0.0656458556716494,0.0639063888048245,4.27417989164523e-10,0,0.286373637140808
BS_1A6MQ9ZA,0.0107311112934602,0.0150802091326535,3.15285380701725e-10,0,0.269783499751277
BS_1D93Z575,0.0318847102506813,0.0191592100682819,3.02751372790999e-08,6.11007964502676e-18,0.336539956462391
BS_1DECYC4K,0.0379050788282205,0.0474885685552193,2.00974691432983e-08,2.12370245978185e-17,0.300796079779367
BS_1EN5V3XW,0.0412256991202503,0.0336839082050571,3.38752529965275e-09,0,0.116672227049727
BS_1G3WYEN3,0.0654161470152828,0.0355350187489383,2.1936213823964e-09,0,0.251106253227951
BS_1HYS8CSC,0.0571316565006227,0.0511045763151128,2.86298769502994e-09,0,0.385484340480992
BS_1JDG6JV5,0.026552352317084,0.00843373579898349,1.92884413724503e-09,1.2242700508234e-17,0.300992506627037
BS_1KYGSMA7,0.0397757122378091,0.0125209150276277,3.36353295791366e-10,0,0.341774664699648
BS_1N76FQZY,0.040510121738453,0.0439639136809293,1.20311195351307e-09,0,0.329629840275886
BS_1NPD7PVG,0.00715996726886388,0.0182364940728696,2.10366860924047e-08,0,0.261318325630222
BS_1Z9AX9JS,0.0315156441217292,0.035422433002132,8.03626154701568e-10,6.70941014516044e-18,0.382046559738166
BS_1ZVXF5FE,0.0495850624377642,0.0189923173570508,1.57403371281094e-08,4.07136097555953e-17,0.245258562987272
BS_21RE8W46,0.0793764225410473,0.0214279789498789,5.5072398515081e-09,6.02033128999178e-17,0.220251786062203
