term	no_loc_HR	no_loc_CI	no_loc_P	with_loc_HR	with_loc_CI	with_loc_P
ecotype_Intermediate	1.3459854528685433	0.98–1.86	0.0707164872995463	1.3437533300475566	0.97–1.86	0.07463067566093069
ecotype_Immune-desert	1.746990909206257	1.19–2.57	0.004577341209559569	1.7681400961151743	1.20–2.61	0.004058841544380541
cohort_group_DMG_K27	2.863900653817003	2.06–3.99	4.347179921782655e-10	2.5324966699984017	1.71–3.76	3.875624464357073e-06
cohort_group_DHG_G34	1.1302919494468968	0.59–2.16	0.7118197612692753	1.2541794858764763	0.64–2.45	0.5067886546026961
cohort_group_IHG	0.2372310885970868	0.09–0.63	0.0041487536351054715	0.24938406118919634	0.09–0.67	0.006046684556069365
age	0.9901138018671561	0.96–1.02	0.5287856756934646	0.9893217100689802	0.96–1.02	0.5027845822039105
male	0.8948884819149648	0.68–1.19	0.43911020735487516	0.9146042419802756	0.69–1.21	0.5368015475304246
location_Midline		—		1.3308815622771146	0.82–2.16	0.2484495178399409
location_Posterior_fossa		—		1.5614524311952558	0.72–3.41	0.26267283098677147
location_Ambiguous/Other		—		1.3038685054661894	0.83–2.06	0.25410316466454946
