gene	KW_H	p	eps2	med_Inflamed	med_Intermediate	med_Immunedesert	q_BH
PCNA	34.242597141949055	3.6670303771454974e-08	0.0931866969420493	5.671859468247477	5.20163386116965	4.506525779043123	9.167575942863744e-07
CCNB1	21.08493671791742	2.63915055526042e-05	0.055158776641379824	4.480265122054463	3.761285273361619	3.400537929583729	0.0003298938194075525
TYMS	19.61969970372782	5.490809052749545e-05	0.050923987583028386	4.516645557780962	4.229587922740652	3.572889668420581	0.0004575674210624621
PLK1	16.334948251762693	0.0002837337879209325	0.04143048627677079	3.6158870739160567	2.8196681834964554	2.8011586560936985	0.0014505764234714982
CDC20	16.290464361101225	0.0002901152846942996	0.04130192011878967	3.944858445807539	3.145677455195635	2.8579809951275723	0.0014505764234714982
MKI67	14.841324035015798	0.0005987526295548602	0.03711365328039248	3.726831217032493	2.9726926540042644	3.5096958419333872	0.002494802623145251
MCM2	14.504083916551876	0.0007087257219339472	0.036138970857086346	3.873813198359087	3.351910961103077	3.065227622775619	0.00253116329262124
CCNA2	13.399927959883582	0.0012309562409903948	0.032947768670183765	2.8379432418910273	2.356143810225275	2.169925001442312	0.003846738253094984
RRM2	10.527673738418255	0.005175409206644561	0.02464645589138224	3.82273014794452	3.2600256559614555	3.6724253419714956	0.013700547247195896
BIRC5	10.4132204675384	0.005480218898878358	0.024315666091151444	3.6322682154995127	3.2645364309990255	3.1602748314085933	0.013700547247195896
AURKB	10.119798997882295	0.006346197280406787	0.023467627161509522	3.344828496997441	2.786596361890807	2.9541963103868754	0.01412726565411297
BUB1B	9.987235579202801	0.006781087513974226	0.023084495893649713	2.942983598187102	2.488000770834068	2.6507645591169022	0.01412726565411297
TPX2	9.546522006076902	0.008452770656289051	0.021810757242996828	4.007195501404204	3.438292851579147	3.412781525338476	0.016255328185171253
ASPM	9.325186217434881	0.009441946635294362	0.02117105843189272	2.883620816285671	2.189033824390017	2.503348735167504	0.016860618991597073
CENPF	8.93462793171158	0.011478105063667188	0.020042277259282024	4.8104431038451745	3.9781956296816516	4.030336078370959	0.01913017510611198
CDK1	8.758873482236305	0.012532415627840316	0.01953431642264828	3.6380738371807184	3.5197934862411002	3.1127001327493624	0.019581899418500495
AURKA	8.573175775176647	0.013751767913762454	0.018997617847331352	2.582556003014061	2.277984747299765	2.204766750654613	0.020223188108474198
BUB1	8.28942763489278	0.01584797071513381	0.018177536517031155	2.956056652412403	2.4854268271702415	2.62993940943954	0.022011070437685847
KIF11	8.128063511982202	0.01717961528285965	0.01771116621960174	2.715893370547605	2.356143810225275	2.2172307162206693	0.02260475695113112
NUSAP1	7.123051215902932	0.02839547129563891	0.014806506404343734	4.749534267669262	4.12350066435096	4.0574502721839	0.03549433911954864
CCNB2	4.830906933849122	0.08932682297643095	0.008181811947540816	3.2464080872463845	3.0959244199985356	2.922197848396367	0.10228302833682722
TOP2A	4.734809678548395	0.09372363884976594	0.007904074215457788	4.867896463992655	4.498250867527825	4.145677455195635	0.10228302833682722
UBE2C	4.726786259274931	0.09410038606988104	0.007880885142413096	4.55028504908841	4.422233000683048	4.24260250592898	0.10228302833682722
FOXM1	4.318609188876041	0.11540534666010721	0.006701182626809368	3.6241008946281146	3.3088850574117634	3.333423733725192	0.12021390277094501
E2F1	0.2965745938817276	0.8621833767099389	-0.00492319481537073	2.3161457422933562	2.2839217723076173	2.1342209397606338	0.8621833767099389
