covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
ecotype_Intermediate	0.15394204223427765	1.1664232815320497	0.27811192491348763	-0.3911473142672659	0.6990313987358212	0.6762805229310783	2.0118031283870823	0.0	0.553525499786334	0.57990362446393	0.7861149395799878
ecotype_Immune-desert	0.7286676626502486	2.07231774122056	0.31423996791405784	0.11276864303567313	1.3445666822648241	1.1193729282658393	3.836523746586075	0.0	2.3188255379708207	0.02040449789033196	5.614968980283383
cohort_group_DMG_K27	1.0477140038318735	2.8511259995969027	0.2663711359451562	0.5256361708583447	1.5697918368054022	1.6915346111838534	4.805647730665266	0.0	3.9332865406542767	8.379225110073176e-05	13.542823641197717
cohort_group_DHG_G34	0.06539192624477841	1.0675773539850208	0.8279540653183838	-1.5573682226327772	1.688152075122334	0.21068983092351737	5.409475159507766	0.0	0.07898013788921057	0.9370484213731062	0.09380449474045902
cohort_group_IHG	-1.6177719562817157	0.1983401176042389	0.7677208069909986	-3.1224770881660993	-0.11306682439733207	0.044047922581998585	0.8930909778555643	0.0	-2.1072399517506937	0.035096785473298135	4.832517290131041
age_years_num	-0.00690330617642108	0.9931204669059174	0.015827790757314716	-0.03792520601559387	0.02411859366275171	0.9627849487207308	1.0244117994344697	0.0	-0.43615096271289533	0.6627272037194236	0.5935129543087002
is_male	-0.1078006400175574	0.897806565291321	0.14390590913093088	-0.3898510390766756	0.17424975904156081	0.6771577370274343	1.1903528300785589	0.0	-0.749105027504301	0.45379390506347317	1.1398908626813256
ecotype_Intermediate:cohort_group_DMG_K27	0.1694046755278361	1.1845994203363983	0.32666456987775655	-0.4708461164578346	0.8096554675135068	0.6244736672378807	2.2471336427493926	0.0	0.5185890701009609	0.6040473326185061	0.7272664925911726
ecotype_Intermediate:cohort_group_DHG_G34	0.7848940039660792	2.192174566608343	0.9164612846605247	-1.0113371071938595	2.581125115126018	0.3637323051942122	13.211994815578853	0.0	0.8564398923374263	0.39175450691078795	1.3519782227155006
ecotype_Intermediate:cohort_group_IHG	-0.2036588165592704	0.8157406409126917	1.17860588093522	-2.5136838951594047	2.106366262040864	0.08096940634023403	8.218323726377536	0.0	-0.17279636887410385	0.8628114913296667	0.2128827037692424
ecotype_Immune-desert:cohort_group_DMG_K27	-0.21872291695292637	0.8035443358234398	0.389035709765628	-0.9812188967935347	0.543773062887682	0.37485391204480173	1.7224936939080475	0.0	-0.5622180983969172	0.5739674319563104	0.8009592170249522
ecotype_Immune-desert:cohort_group_DHG_G34	-0.5160837652828423	0.5968533949869056	0.921971136897095	-2.323113988386596	1.2909464578209116	0.0979680387816145	3.6362264626067926	0.0	-0.5597613033958183	0.5756422615218368	0.7967555815968409
ecotype_Immune-desert:cohort_group_IHG	0.7484704488627221	2.113764431956554	1.041842133780222	-1.293502610922874	2.790443508648318	0.27430830321840705	16.28824217634836	0.0	0.7184106157686007	0.47250414316457223	1.0816011151901055
