Kids_First_Biospecimen_ID	ecotype_original	ecotype_TPM	agreement
BS_00FD2KMP	Immune-desert	Immune-desert	1
BS_028YFYJ6	Myeloid-dominant	Myeloid-dominant	1
BS_052PZFMK	Immune-desert	Immune-desert	1
BS_056Q8577	Lymphocyte-inflamed	Myeloid-dominant	0
BS_08ST21QE	Lymphocyte-inflamed	Myeloid-dominant	0
BS_0C7VZC0A	Myeloid-dominant	Myeloid-dominant	1
BS_0S8E7590	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_0VXZCRJS	Myeloid-dominant	Myeloid-dominant	1
BS_0XEBS3PG	Immune-desert	Immune-desert	1
BS_0ZA67BBC	Myeloid-dominant	Myeloid-dominant	1
BS_12G04QJM	Myeloid-dominant	Immune-desert	0
BS_17ZSMXFH	Immune-desert	Immune-desert	1
BS_1A6MQ9ZA	Myeloid-dominant	Myeloid-dominant	1
BS_1D93Z575	Myeloid-dominant	Myeloid-dominant	1
BS_1EN5V3XW	Immune-desert	Immune-desert	1
BS_223BM91B	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_25HNKZ79	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2853394H	Immune-desert	Immune-desert	1
BS_297H8BT4	Myeloid-dominant	Myeloid-dominant	1
BS_29X4ZX6Q	Immune-desert	Immune-desert	1
BS_2A5R9MEJ	Immune-desert	Immune-desert	1
BS_2ARXK0TD	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2AV1H5TV	Myeloid-dominant	Immune-desert	0
BS_2DMBCHNF	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2EN3X6HB	Myeloid-dominant	Myeloid-dominant	1
BS_2FEZWH1F	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2HNXVFAS	Myeloid-dominant	Myeloid-dominant	1
BS_2JH1QMT1	Myeloid-dominant	Myeloid-dominant	1
BS_2JP7RBMB	Myeloid-dominant	Myeloid-dominant	1
BS_2K01T8K6	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2PDS3MSS	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_2T5PJAW8	Myeloid-dominant	Myeloid-dominant	1
BS_2WANPFBJ	Lymphocyte-inflamed	Myeloid-dominant	0
BS_30F3Z9FS	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_30VC3R2Q	Myeloid-dominant	Myeloid-dominant	1
BS_30YWQ3FY	Lymphocyte-inflamed	Myeloid-dominant	0
BS_31MBRWC4	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_333KCNDP	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_399RPKC9	Myeloid-dominant	Myeloid-dominant	1
BS_3AC3SRWH	Immune-desert	Immune-desert	1
BS_3MS8WVNR	Immune-desert	Immune-desert	1
BS_3ZPJAK9A	Myeloid-dominant	Immune-desert	0
BS_45J79YTF	Immune-desert	Immune-desert	1
BS_49BQS7Z6	Myeloid-dominant	Myeloid-dominant	1
BS_49CJNZ06	Myeloid-dominant	Myeloid-dominant	1
BS_4B0BAVTX	Myeloid-dominant	Myeloid-dominant	1
BS_4BM3F6XJ	Myeloid-dominant	Myeloid-dominant	1
BS_4C6B11E4	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_4GNN7J8E	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_4KNBXM3C	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_4Q3KRCZT	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_4QW2S1Q8	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_4T0HQ9QF	Myeloid-dominant	Myeloid-dominant	1
BS_4V42BXBT	Myeloid-dominant	Myeloid-dominant	1
BS_51RA1PGE	Myeloid-dominant	Myeloid-dominant	1
BS_52C576HH	Myeloid-dominant	Myeloid-dominant	1
BS_5965SFPZ	Immune-desert	Immune-desert	1
BS_5EFYPZT0	Myeloid-dominant	Immune-desert	0
BS_5G5BD2MD	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_5K95FX4C	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_5KBXD2GQ	Myeloid-dominant	Myeloid-dominant	1
BS_5PXZ8F7W	Myeloid-dominant	Immune-desert	0
BS_5VPM0F36	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_62SW4CC5	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_65WPD3DA	Myeloid-dominant	Myeloid-dominant	1
BS_68KX6A42	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_6DCSD5Y6	Immune-desert	Immune-desert	1
BS_6H4Q24WA	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_6M2053M0	Myeloid-dominant	Myeloid-dominant	1
BS_6SY64H5J	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_6VRG1XFB	Myeloid-dominant	Myeloid-dominant	1
BS_6WP1FHTE	Lymphocyte-inflamed	Myeloid-dominant	0
BS_7327SDAQ	Myeloid-dominant	Myeloid-dominant	1
BS_75YRDXET	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_77SBTNPN	Myeloid-dominant	Myeloid-dominant	1
BS_7AEF4D4G	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_7APCGCVF	Myeloid-dominant	Myeloid-dominant	1
BS_7GJT4A6A	Immune-desert	Immune-desert	1
BS_7GKWKGPH	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_7PVJ6Q3D	Immune-desert	Immune-desert	1
BS_7WKNNRHK	Myeloid-dominant	Myeloid-dominant	1
BS_84VZX732	Myeloid-dominant	Myeloid-dominant	1
BS_84XCR9GG	Myeloid-dominant	Myeloid-dominant	1
BS_8E8JKP01	Immune-desert	Immune-desert	1
BS_8ERBDF7D	Immune-desert	Immune-desert	1
BS_8JK9TXH2	Myeloid-dominant	Myeloid-dominant	1
BS_8VD670NP	Myeloid-dominant	Myeloid-dominant	1
BS_8YWYN7VH	Lymphocyte-inflamed	Myeloid-dominant	0
BS_8ZE4Z9G5	Myeloid-dominant	Myeloid-dominant	1
BS_8ZY4GST0	Immune-desert	Immune-desert	1
BS_91VYM11A	Myeloid-dominant	Myeloid-dominant	1
BS_956G6QPJ	Myeloid-dominant	Myeloid-dominant	1
BS_97M1E2DW	Immune-desert	Immune-desert	1
BS_9A1YTHFF	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_9B0A62MT	Lymphocyte-inflamed	Myeloid-dominant	0
BS_9CA93S6D	Immune-desert	Immune-desert	1
BS_9FHEFJNP	Myeloid-dominant	Immune-desert	0
BS_9FX3YREK	Immune-desert	Immune-desert	1
BS_9GJ3DB1H	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_9JPQZQNG	Myeloid-dominant	Immune-desert	0
BS_9TXEDSWB	Myeloid-dominant	Myeloid-dominant	1
BS_9XVACXP0	Myeloid-dominant	Immune-desert	0
BS_9Y1K14Q5	Myeloid-dominant	Immune-desert	0
BS_9ZJT0CP0	Myeloid-dominant	Myeloid-dominant	1
BS_A4PF49V0	Immune-desert	Immune-desert	1
BS_A6NXR7RC	Myeloid-dominant	Myeloid-dominant	1
BS_A7Q8G0Y1	Myeloid-dominant	Myeloid-dominant	1
BS_A8XW5S0W	Myeloid-dominant	Myeloid-dominant	1
BS_AWH9757B	Immune-desert	Immune-desert	1
BS_AYSXRQWY	Myeloid-dominant	Myeloid-dominant	1
BS_AZQM1JJH	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_B1C6GZ84	Immune-desert	Myeloid-dominant	0
BS_B3MQFFYP	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_B4R7X1KE	Immune-desert	Immune-desert	1
BS_B57327NA	Myeloid-dominant	Myeloid-dominant	1
BS_BBAEMXRD	Immune-desert	Immune-desert	1
BS_BBQ6BHGN	Myeloid-dominant	Immune-desert	0
BS_BK0HGRXM	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_BMMY0H73	Myeloid-dominant	Myeloid-dominant	1
BS_C6ZZ3FY5	Myeloid-dominant	Myeloid-dominant	1
BS_C83TK159	Myeloid-dominant	Myeloid-dominant	1
BS_CBDQZ8PP	Immune-desert	Immune-desert	1
BS_CF63VG3S	Myeloid-dominant	Myeloid-dominant	1
BS_CFD3WHAY	Myeloid-dominant	Myeloid-dominant	1
BS_CG1RG607	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_CVEDJGHZ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_CXAQDK7S	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_CZPQ493E	Myeloid-dominant	Myeloid-dominant	1
BS_D29RPBSZ	Myeloid-dominant	Myeloid-dominant	1
BS_D4VNDNQA	Immune-desert	Immune-desert	1
BS_D6J2BGDJ	Immune-desert	Immune-desert	1
BS_DFGS950G	Immune-desert	Immune-desert	1
BS_DNZVP92S	Myeloid-dominant	Immune-desert	0
BS_DR079H0D	Immune-desert	Immune-desert	1
BS_DS438CXE	Immune-desert	Immune-desert	1
BS_DSPVSM7D	Myeloid-dominant	Myeloid-dominant	1
BS_DZNXFPH1	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_E7NVYA6G	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_E9CYN4NP	Immune-desert	Immune-desert	1
BS_EB0XRBT9	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_EDJ5TV0P	Immune-desert	Immune-desert	1
BS_EMQM7HTA	Myeloid-dominant	Myeloid-dominant	1
BS_ENEYB4TG	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_EXPJQZTH	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_EZ3147MX	Myeloid-dominant	Myeloid-dominant	1
BS_F0JB4EAK	Immune-desert	Myeloid-dominant	0
BS_F21R36MM	Myeloid-dominant	Myeloid-dominant	1
BS_F65GWS21	Myeloid-dominant	Immune-desert	0
BS_F6V1Y4QS	Myeloid-dominant	Myeloid-dominant	1
BS_F9Y4Z92G	Immune-desert	Immune-desert	1
BS_FCDAH728	Myeloid-dominant	Myeloid-dominant	1
BS_FEV5A0HN	Immune-desert	Immune-desert	1
BS_FGJH1X0S	Myeloid-dominant	Immune-desert	0
BS_FKASA3MN	Immune-desert	Immune-desert	1
BS_FN07P04C	Immune-desert	Immune-desert	1
BS_FX2P2WEG	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_FXJY0MNH	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_FYP2B298	Immune-desert	Immune-desert	1
BS_G19QZG4S	Myeloid-dominant	Myeloid-dominant	1
BS_G1E5DATJ	Myeloid-dominant	Myeloid-dominant	1
BS_G257VSS9	Immune-desert	Myeloid-dominant	0
BS_G3NN392N	Myeloid-dominant	Myeloid-dominant	1
BS_G3RJTBZD	Immune-desert	Immune-desert	1
BS_G5NHSFD4	Immune-desert	Immune-desert	1
BS_G8TXTX0H	Myeloid-dominant	Myeloid-dominant	1
BS_GG9W3J9Y	Immune-desert	Immune-desert	1
BS_GW0GKWMS	Myeloid-dominant	Myeloid-dominant	1
BS_GWHYM3R4	Myeloid-dominant	Immune-desert	0
BS_GWSJ4Z9H	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_H5VQJR7X	Myeloid-dominant	Myeloid-dominant	1
BS_H97S5SQN	Myeloid-dominant	Myeloid-dominant	1
BS_H9JYKFTV	Myeloid-dominant	Myeloid-dominant	1
BS_HDHXX8Q7	Myeloid-dominant	Myeloid-dominant	1
BS_HDPCQETG	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_HJRTC9JQ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_HJV0J603	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_HRJ9145M	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_HWGWYCY7	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_HZ9AYDCQ	Lymphocyte-inflamed	Myeloid-dominant	0
BS_J4JY2F3H	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_J6212Y48	Myeloid-dominant	Myeloid-dominant	1
BS_J6W1RB7A	Myeloid-dominant	Myeloid-dominant	1
BS_J9CBGP57	Myeloid-dominant	Myeloid-dominant	1
BS_JB43XBCQ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_JDSNFYQ0	Lymphocyte-inflamed	Myeloid-dominant	0
BS_JJVH7WR0	Immune-desert	Immune-desert	1
BS_JMD386Z2	Myeloid-dominant	Myeloid-dominant	1
BS_JP95KMRD	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_JQGJQ2QZ	Myeloid-dominant	Myeloid-dominant	1
BS_JQVAWTTM	Myeloid-dominant	Myeloid-dominant	1
BS_JQXHHK0K	Immune-desert	Immune-desert	1
BS_JRYJGYC4	Myeloid-dominant	Myeloid-dominant	1
BS_JS95PE0J	Myeloid-dominant	Myeloid-dominant	1
BS_JTWNJ8T7	Immune-desert	Immune-desert	1
BS_JVW2JJ39	Immune-desert	Immune-desert	1
BS_K0X3PZGN	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_K17VQECG	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_K2PCC777	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_K74N1BXQ	Myeloid-dominant	Myeloid-dominant	1
BS_K81PZXP2	Lymphocyte-inflamed	Myeloid-dominant	0
BS_K88T8SW7	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_KABQQA0T	Immune-desert	Immune-desert	1
BS_KBEX4RT2	Myeloid-dominant	Myeloid-dominant	1
BS_KFD5128N	Myeloid-dominant	Myeloid-dominant	1
BS_KKDTW11T	Immune-desert	Immune-desert	1
BS_KP735TJ6	Immune-desert	Immune-desert	1
BS_KQ6ZW085	Myeloid-dominant	Myeloid-dominant	1
BS_KRS4EV4X	Myeloid-dominant	Myeloid-dominant	1
BS_KS8HMGA6	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_KVPWHDR4	Myeloid-dominant	Myeloid-dominant	1
BS_M0FA190Y	Myeloid-dominant	Myeloid-dominant	1
BS_M0XGZ53Z	Immune-desert	Immune-desert	1
BS_M1PVEHCM	Immune-desert	Immune-desert	1
BS_M54TWTH4	Myeloid-dominant	Myeloid-dominant	1
BS_M7XB258E	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_M85CXHDV	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_MB7WN0ZB	Myeloid-dominant	Myeloid-dominant	1
BS_MD0937XT	Immune-desert	Immune-desert	1
BS_MDBT7S5Z	Immune-desert	Immune-desert	1
BS_ME6VQGG4	Myeloid-dominant	Myeloid-dominant	1
BS_MFGZH8FK	Myeloid-dominant	Myeloid-dominant	1
BS_MG78HQDM	Immune-desert	Immune-desert	1
BS_MWWZBQ60	Myeloid-dominant	Myeloid-dominant	1
BS_N6TQBQ8M	Myeloid-dominant	Immune-desert	0
BS_N7SW36FD	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_N7VQ1GQB	Lymphocyte-inflamed	Myeloid-dominant	0
BS_NB9XXBW6	Myeloid-dominant	Myeloid-dominant	1
BS_NEFAASTR	Lymphocyte-inflamed	Myeloid-dominant	0
BS_NEVYM2FP	Myeloid-dominant	Myeloid-dominant	1
BS_NFKKDYSV	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_NGSG2KB6	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_NNYXMSTX	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_NPA6CZQF	Immune-desert	Immune-desert	1
BS_NQ54ST98	Lymphocyte-inflamed	Myeloid-dominant	0
BS_NR3P3GN2	Myeloid-dominant	Myeloid-dominant	1
BS_NX1R0BC3	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_P0QF87WC	Myeloid-dominant	Myeloid-dominant	1
BS_P4PMWFMV	Myeloid-dominant	Myeloid-dominant	1
BS_P7W3AYKV	Myeloid-dominant	Myeloid-dominant	1
BS_PENM28KT	Myeloid-dominant	Myeloid-dominant	1
BS_PJC6FH4Y	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_PS0P3QJ3	Myeloid-dominant	Myeloid-dominant	1
BS_PXCPK5XS	Myeloid-dominant	Myeloid-dominant	1
BS_PZVHMSYN	Myeloid-dominant	Myeloid-dominant	1
BS_Q06J3RYW	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_Q35GFYDR	Myeloid-dominant	Immune-desert	0
BS_Q9N5PRD5	Myeloid-dominant	Myeloid-dominant	1
BS_QB84TBA3	Immune-desert	Immune-desert	1
BS_QGKEP3KB	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_QH0VYVJK	Myeloid-dominant	Myeloid-dominant	1
BS_QHY302E8	Lymphocyte-inflamed	Myeloid-dominant	0
BS_QMBS32Y2	Myeloid-dominant	Myeloid-dominant	1
BS_QNNX91SM	Myeloid-dominant	Myeloid-dominant	1
BS_QY2G1JZJ	Myeloid-dominant	Myeloid-dominant	1
BS_QYA4TQXX	Immune-desert	Immune-desert	1
BS_R5JQE0VJ	Myeloid-dominant	Myeloid-dominant	1
BS_R5SNFB5B	Immune-desert	Immune-desert	1
BS_R9B92M75	Myeloid-dominant	Myeloid-dominant	1
BS_RHAWQJ48	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_RHM60031	Myeloid-dominant	Myeloid-dominant	1
BS_RJC3WDD6	Immune-desert	Immune-desert	1
BS_RN0VAY51	Myeloid-dominant	Myeloid-dominant	1
BS_RX1YTZ7F	Myeloid-dominant	Myeloid-dominant	1
BS_RZBFH1QF	Immune-desert	Immune-desert	1
BS_S2TA8R29	Myeloid-dominant	Myeloid-dominant	1
BS_S3C2PZAH	Myeloid-dominant	Myeloid-dominant	1
BS_S3MET0JZ	Myeloid-dominant	Myeloid-dominant	1
BS_S4V9E1XJ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_S5P8VTN5	Myeloid-dominant	Myeloid-dominant	1
BS_S6B9DVNS	Immune-desert	Immune-desert	1
BS_S6S7SK3P	Immune-desert	Immune-desert	1
BS_S8K878T3	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_SBMAM00V	Myeloid-dominant	Myeloid-dominant	1
BS_SBMCD7XZ	Myeloid-dominant	Myeloid-dominant	1
BS_SD0EMK7Y	Lymphocyte-inflamed	Myeloid-dominant	0
BS_SD8YBRBR	Immune-desert	Immune-desert	1
BS_SERDGASJ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_SJVTZ5TH	Myeloid-dominant	Immune-desert	0
BS_SMWQR2F1	Myeloid-dominant	Myeloid-dominant	1
BS_SNVM7CZT	Myeloid-dominant	Lymphocyte-inflamed	0
BS_SR2RGDXJ	Myeloid-dominant	Myeloid-dominant	1
BS_SW9Z10F9	Lymphocyte-inflamed	Myeloid-dominant	0
BS_SY3J3XR9	Immune-desert	Immune-desert	1
BS_T1YHK6B7	Myeloid-dominant	Myeloid-dominant	1
BS_T2F48Z4E	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_T9A8JJW5	Myeloid-dominant	Myeloid-dominant	1
BS_TASG32Z2	Myeloid-dominant	Myeloid-dominant	1
BS_TGS109T3	Immune-desert	Myeloid-dominant	0
BS_TM9MH0RP	Myeloid-dominant	Myeloid-dominant	1
BS_TR2P8KRF	Myeloid-dominant	Myeloid-dominant	1
BS_TRKH2SPE	Myeloid-dominant	Myeloid-dominant	1
BS_TRPXB3AV	Myeloid-dominant	Myeloid-dominant	1
BS_TTDNZTZ0	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_TTE04ZP8	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_TV5B86ZD	Immune-desert	Immune-desert	1
BS_TVH33J9Q	Myeloid-dominant	Myeloid-dominant	1
BS_TXZ7KHTQ	Myeloid-dominant	Myeloid-dominant	1
BS_V0DQFC75	Myeloid-dominant	Immune-desert	0
BS_V3Z3DB4N	Immune-desert	Immune-desert	1
BS_V558NW3Q	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_V6RSB5HQ	Myeloid-dominant	Immune-desert	0
BS_V8QWBVS3	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_VBMRQK4F	Myeloid-dominant	Myeloid-dominant	1
BS_VDFXXMEX	Immune-desert	Immune-desert	1
BS_VF3NVT4G	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_VKH87DD2	Lymphocyte-inflamed	Myeloid-dominant	0
BS_VKHJG2B8	Myeloid-dominant	Myeloid-dominant	1
BS_VKYEM67A	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_VMQMGSJY	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_VVTHDRBD	Myeloid-dominant	Myeloid-dominant	1
BS_W1385R8Y	Immune-desert	Immune-desert	1
BS_W4DB5RP1	Immune-desert	Immune-desert	1
BS_W7MFJZ5A	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_WBVSK3MP	Immune-desert	Immune-desert	1
BS_WEKK6SHP	Myeloid-dominant	Myeloid-dominant	1
BS_WHBEXD5H	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_WQ1YRTAT	Immune-desert	Immune-desert	1
BS_WTJEDTZC	Myeloid-dominant	Myeloid-dominant	1
BS_WVRX4C9Z	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_X0XXN9BK	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_X1G0TKP4	Myeloid-dominant	Myeloid-dominant	1
BS_X20JCR4H	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_X23724NJ	Myeloid-dominant	Myeloid-dominant	1
BS_X3HR4Z21	Myeloid-dominant	Myeloid-dominant	1
BS_X4DD4KSZ	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_X4X1SFSE	Immune-desert	Myeloid-dominant	0
BS_XG0DBWVT	Immune-desert	Immune-desert	1
BS_XGDPK33A	Myeloid-dominant	Myeloid-dominant	1
BS_XM1AHBDJ	Immune-desert	Immune-desert	1
BS_XQ5SFW35	Myeloid-dominant	Myeloid-dominant	1
BS_XQXXBWPD	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_XYVCMF4A	Myeloid-dominant	Immune-desert	0
BS_XZM79E42	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_YA0KMBRT	Myeloid-dominant	Myeloid-dominant	1
BS_YDEVMD24	Myeloid-dominant	Myeloid-dominant	1
BS_YMKQT5V0	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_YR12D1ZY	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_YSZRQ95C	Myeloid-dominant	Myeloid-dominant	1
BS_YTWEM5SG	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_YZ2QFDAN	Myeloid-dominant	Myeloid-dominant	1
BS_Z0ZPD9S9	Lymphocyte-inflamed	Myeloid-dominant	0
BS_Z3RCA1T9	Myeloid-dominant	Lymphocyte-inflamed	0
BS_Z8F3GM85	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_ZD5HN296	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_ZF6BSFNF	Myeloid-dominant	Myeloid-dominant	1
BS_ZM97KKXE	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_ZV1P6W9C	Immune-desert	Myeloid-dominant	0
BS_ZVM8CAB0	Lymphocyte-inflamed	Lymphocyte-inflamed	1
BS_ZZWMD6FA	Lymphocyte-inflamed	Lymphocyte-inflamed	1
