signature	n_in_set	n_in_TPM	match_rate
MgTAM_Antunes2021	14	13	0.9285714285714286
Microglia_Klemm2020	16	15	0.9375
DAM_KerenShaul2017	16	15	0.9375
Microglia_Core_Homeostatic	17	16	0.9411764705882353
MDM_Klemm2020	16	16	1.0
MoTAM_Antunes2021	15	15	1.0
MHC_Class_I	17	17	1.0
MHC_Class_II	12	12	1.0
IFN_Gamma_Response	20	20	1.0
IFN_Alpha_Response	19	19	1.0
T_Cell_Cytotoxicity	13	13	1.0
T_Cell_Exhaustion	12	12	1.0
Chemokine_T_Cell_Recruitment	12	12	1.0
MAPK_Activity	16	16	1.0
TGFb_Immunosuppression	13	13	1.0
M1_Macrophage	14	14	1.0
M2_Macrophage	14	14	1.0
Glioma_Inflammatory_Wang2017	13	13	1.0
NK_Cell_Activity	15	15	1.0
Tregs_Friebel2020	10	10	1.0
Dendritic_Cell_Activation	10	10	1.0
Neutrophil_Activation	14	14	1.0
Cell_Cycle_Proliferation	13	13	1.0
Stemness_Brain_Tumor	11	11	1.0
