signature	n	spearman_rho	p
MHC_Class_I	349	0.9999915310457747	0.0
Cell_Cycle_Proliferation	349	0.9999664064815729	0.0
Microglia_Klemm2020	349	0.9997306872556353	0.0
MgTAM_Antunes2021	349	0.9994887574632658	0.0
Microglia_Core_Homeostatic	349	0.9994159244569283	0.0
MAPK_Activity	349	0.999382048640027	0.0
MHC_Class_II	349	0.9965404321989639	0.0
DAM_KerenShaul2017	349	0.9948887038265557	0.0
IFN_Alpha_Response	349	0.9941541631967477	0.0
MDM_Klemm2020	349	0.9842361709034962	3.6734938679255374e-263
MoTAM_Antunes2021	349	0.9831332307648877	4.1628948774592285e-258
IFN_Gamma_Response	349	0.967089926178949	2.4041815346141433e-208
M1_Macrophage	349	0.9498959730122658	2.5034490682057195e-177
Glioma_Inflammatory_Wang2017	349	0.9433918161672334	2.2201673010476567e-168
Chemokine_T_Cell_Recruitment	349	0.9344446483266756	1.1475244401157902e-157
T_Cell_Cytotoxicity	349	0.9277603850551188	1.3123984583578852e-150
M2_Macrophage	349	0.9106378534024024	3.0301054078453057e-135
NK_Cell_Activity	349	0.85859754118029	1.0119818900398555e-102
Neutrophil_Activation	349	0.8568450322526006	7.296292853550064e-102
TGFb_Immunosuppression	349	0.8564229960337063	1.169499112273064e-101
T_Cell_Exhaustion	349	0.8460671588070067	7.933843144464475e-97
Stemness_Brain_Tumor	349	0.8151359972899347	2.749351189432112e-84
Tregs_Friebel2020	349	0.7737222465312574	8.996286867576546e-71
Dendritic_Cell_Activation	349	0.7532657698985137	4.101640094349106e-65
