Signature,Comparison,Z,P.unadj,P.adj
Microglia_Core_Homeostatic,Immune-desert - Intermediate,-3.80398346776957,0.000142387687053571,0.000142387687053571
Microglia_Core_Homeostatic,Immune-desert - Inflamed,-9.5054977616368,1.99093543988677e-21,5.97280631966031e-21
Microglia_Core_Homeostatic,Intermediate - Inflamed,-7.04661584800412,1.83321508188373e-12,2.7498226228256e-12
Microglia_Klemm2020,Immune-desert - Intermediate,-4.05248621037561,5.06762117991518e-05,5.06762117991518e-05
Microglia_Klemm2020,Immune-desert - Inflamed,-9.39476756408871,5.7344295005058e-21,1.72032885015174e-20
Microglia_Klemm2020,Intermediate - Inflamed,-6.63711776875564,3.19876075518386e-11,4.79814113277578e-11
MDM_Klemm2020,Immune-desert - Intermediate,-7.908110975443,2.61323813937778e-15,2.61323813937778e-15
MDM_Klemm2020,Immune-desert - Inflamed,-14.2749818470005,3.13369400350344e-46,9.40108201051033e-46
MDM_Klemm2020,Intermediate - Inflamed,-8.12750184011487,4.38227976382481e-16,6.57341964573722e-16
MgTAM_Antunes2021,Immune-desert - Intermediate,-4.05234137837735,5.07076024340684e-05,5.07076024340684e-05
MgTAM_Antunes2021,Immune-desert - Inflamed,-9.66974578815162,4.05383783746946e-22,1.21615135124084e-21
MgTAM_Antunes2021,Intermediate - Inflamed,-6.96417097742121,3.30343216773499e-12,4.95514825160249e-12
MoTAM_Antunes2021,Immune-desert - Intermediate,-8.23391924543766,1.81185852850105e-16,2.71778779275157e-16
MoTAM_Antunes2021,Immune-desert - Inflamed,-14.499190434474,1.22587157905632e-47,3.67761473716896e-47
MoTAM_Antunes2021,Intermediate - Inflamed,-8.02973639841513,9.76823176034843e-16,9.76823176034843e-16
DAM_KerenShaul2017,Immune-desert - Intermediate,-7.9424071926298,1.98294715812601e-15,2.97442073718901e-15
DAM_KerenShaul2017,Immune-desert - Inflamed,-13.8259060143764,1.77858905376124e-43,5.33576716128371e-43
DAM_KerenShaul2017,Intermediate - Inflamed,-7.55529685011095,4.17905620626978e-14,4.17905620626978e-14
MHC_Class_I,Immune-desert - Intermediate,-6.3096060039818,2.79746707126633e-10,4.19620060689949e-10
MHC_Class_I,Immune-desert - Inflamed,-9.62368517541522,6.35139785926796e-22,1.90541935778039e-21
MHC_Class_I,Intermediate - Inflamed,-4.38545574134819,1.1574319085653e-05,1.1574319085653e-05
MHC_Class_II,Immune-desert - Intermediate,-7.36289960793171,1.79957712867054e-13,2.69936569300581e-13
MHC_Class_II,Immune-desert - Inflamed,-12.540796749164,4.46483824111994e-36,1.33945147233598e-35
MHC_Class_II,Intermediate - Inflamed,-6.67554826432096,2.4630958416914e-11,2.4630958416914e-11
IFN_Gamma_Response,Immune-desert - Intermediate,-7.23655975921385,4.60208936729424e-13,4.60208936729424e-13
IFN_Gamma_Response,Immune-desert - Inflamed,-13.5514047493212,7.77282591422664e-42,2.33184777426799e-41
IFN_Gamma_Response,Intermediate - Inflamed,-8.01821540139437,1.0729253696954e-15,1.60938805454309e-15
IFN_Alpha_Response,Immune-desert - Intermediate,-5.45845731663645,4.8028928949866e-08,7.2043393424799e-08
IFN_Alpha_Response,Immune-desert - Inflamed,-9.43073632988599,4.07220113636506e-21,1.22166034090952e-20
IFN_Alpha_Response,Intermediate - Inflamed,-5.10779145943199,3.25946093591469e-07,3.25946093591469e-07
T_Cell_Cytotoxicity,Immune-desert - Intermediate,-8.14177712814779,3.89517773260893e-16,3.89517773260893e-16
T_Cell_Cytotoxicity,Immune-desert - Inflamed,-15.5232365654016,2.41553602770424e-54,7.24660808311271e-54
T_Cell_Cytotoxicity,Intermediate - Inflamed,-9.35014047678018,8.75313924932912e-21,1.31297088739937e-20
T_Cell_Exhaustion,Immune-desert - Intermediate,-6.19558846167549,5.80676677023355e-10,5.80676677023355e-10
T_Cell_Exhaustion,Immune-desert - Inflamed,-14.3912538539706,5.87215782975733e-47,1.7616473489272e-46
T_Cell_Exhaustion,Intermediate - Inflamed,-10.1805806445033,2.42112344354297e-24,3.63168516531446e-24
Chemokine_T_Cell_Recruitment,Immune-desert - Intermediate,-8.36181169317681,6.17623709122076e-17,6.17623709122076e-17
Chemokine_T_Cell_Recruitment,Immune-desert - Inflamed,-15.9094522291318,5.44881341071529e-57,1.63464402321459e-56
Chemokine_T_Cell_Recruitment,Intermediate - Inflamed,-9.56323816342005,1.14128722395285e-21,1.71193083592927e-21
MAPK_Activity,Immune-desert - Intermediate,-5.33387283173745,9.61398651338357e-08,1.44209797700754e-07
MAPK_Activity,Immune-desert - Inflamed,-7.34239024194278,2.09812568967696e-13,6.29437706903087e-13
MAPK_Activity,Intermediate - Inflamed,-2.76449131303276,0.0057011625177154,0.0057011625177154
TGFb_Immunosuppression,Immune-desert - Intermediate,-6.59756098291252,4.17976784790868e-11,4.17976784790868e-11
TGFb_Immunosuppression,Immune-desert - Inflamed,-14.6374706927959,1.61982831524772e-48,4.85948494574317e-48
TGFb_Immunosuppression,Intermediate - Inflamed,-10.0238153800102,1.19787401281339e-23,1.79681101922008e-23
M1_Macrophage,Immune-desert - Intermediate,-8.02574931770569,1.00908093748188e-15,1.00908093748188e-15
M1_Macrophage,Immune-desert - Inflamed,-15.9919282835615,1.45457976037113e-57,4.3637392811134e-57
M1_Macrophage,Intermediate - Inflamed,-10.0370527519802,1.04757402683688e-23,1.57136104025532e-23
M2_Macrophage,Immune-desert - Intermediate,-6.55257616425449,5.65528578543028e-11,5.65528578543028e-11
