Signature,KW_chi2,KW_df,KW_p,KW_p_BH
M1_Macrophage,262.189860535947,2,1.16464932449401e-57,2.79515837878561e-56
Chemokine_T_Cell_Recruitment,257.281763270153,2,1.35511127480901e-56,1.62613352977081e-55
T_Cell_Cytotoxicity,245.029473328933,2,6.20191650014445e-54,4.96153320011556e-53
Glioma_Inflammatory_Wang2017,241.812637910787,2,3.09779625525571e-53,1.85867775315343e-52
TGFb_Immunosuppression,225.038351967626,2,1.36001206753376e-49,6.52805792416205e-49
Tregs_Friebel2020,221.666453008172,2,7.34076494122721e-49,2.93630597649088e-48
T_Cell_Exhaustion,220.079216834281,2,1.62332423968446e-48,5.56568310748957e-48
Dendritic_Cell_Activation,213.798693316414,2,3.7514885673571e-47,1.12544657020713e-46
NK_Cell_Activity,212.741386601774,2,6.36494804796137e-47,1.69731947945637e-46
MoTAM_Antunes2021,211.38219204495,2,1.25585705926372e-46,3.01405694223292e-46
MDM_Klemm2020,205.498674748573,2,2.37974136222801e-45,5.19216297213385e-45
Neutrophil_Activation,198.28484655239,2,8.76985976144582e-44,1.75397195228916e-43
DAM_KerenShaul2017,191.981318610636,2,2.05015336066325e-42,3.78489851199369e-42
M2_Macrophage,188.292729564597,2,1.29644257210515e-41,2.22247298075169e-41
IFN_Gamma_Response,186.179283145802,2,3.72977250006146e-41,5.96763600009834e-41
MHC_Class_II,157.656846980092,2,5.82439286447865e-35,8.73658929671798e-35
MgTAM_Antunes2021,100.066317547421,2,1.86584357927848e-22,2.63413211192256e-22
Microglia_Core_Homeostatic,97.9078646300582,2,5.49006299985997e-22,7.32008399981329e-22
Microglia_Klemm2020,93.741667819832,2,4.40814093089855e-21,5.56817801797712e-21
MHC_Class_I,92.7514810506841,2,7.23222278116331e-21,8.67866733739597e-21
IFN_Alpha_Response,89.2606985518569,2,4.14272002907163e-20,4.73453717608186e-20
MAPK_Activity,54.8096037006451,2,1.25385056144264e-12,1.36783697611925e-12
Stemness_Brain_Tumor,7.15506728407468,2,0.0279445345581917,0.0291595143215914
Cell_Cycle_Proliferation,0.125786907572092,2,0.939043519891049,0.939043519891049
