Signature,Comparison,W,wilcox_p,rank_biserial_r,wilcox_p_BH
Microglia_Core_Homeostatic,Inflamed vs Immune-desert,1083,4.65333859701764e-19,-0.757,7.28348649967979e-19
Microglia_Core_Homeostatic,Inflamed vs Intermediate,4195,1.51520036318557e-13,-0.527,2.0202671509141e-13
Microglia_Core_Homeostatic,Intermediate vs Immune-desert,4103,2.24565045984604e-05,-0.338,2.48748974013715e-05
Microglia_Klemm2020,Inflamed vs Immune-desert,1128,1.35039778055333e-18,-0.747,2.06869447233701e-18
Microglia_Klemm2020,Inflamed vs Intermediate,4451,2.92306098251321e-12,-0.498,3.69228755685879e-12
Microglia_Klemm2020,Intermediate vs Immune-desert,3977,7.00514133269282e-06,-0.359,7.88078399927942e-06
MDM_Klemm2020,Inflamed vs Immune-desert,118,1.9329191578111e-30,-0.974,7.7316766312444e-30
MDM_Klemm2020,Inflamed vs Intermediate,2671,1.20049123475496e-22,-0.699,2.46958196863877e-22
MDM_Klemm2020,Intermediate vs Immune-desert,1233,1.04061389583e-23,-0.801,2.34138126561751e-23
MgTAM_Antunes2021,Inflamed vs Immune-desert,1040,1.65949496936523e-19,-0.767,2.77868925103015e-19
MgTAM_Antunes2021,Inflamed vs Intermediate,4228,2.23914289083549e-13,-0.523,2.93124160254828e-13
MgTAM_Antunes2021,Intermediate vs Immune-desert,3961,6.01504483825099e-06,-0.361,6.87433695800114e-06
MoTAM_Antunes2021,Inflamed vs Immune-desert,89,7.96066964457003e-31,-0.98,4.35316451973295e-30
MoTAM_Antunes2021,Inflamed vs Intermediate,2677,1.3184660474876e-22,-0.698,2.63693209497519e-22
MoTAM_Antunes2021,Intermediate vs Immune-desert,1016,1.11174307455867e-25,-0.836,2.6681833789408e-25
DAM_KerenShaul2017,Inflamed vs Immune-desert,209,3.01128260404767e-29,-0.953,9.85510670415601e-29
DAM_KerenShaul2017,Inflamed vs Intermediate,3112,9.30334694809383e-20,-0.649,1.59485947681609e-19
DAM_KerenShaul2017,Intermediate vs Immune-desert,1295,3.67553870148491e-23,-0.791,8.01935716687617e-23
MHC_Class_I,Inflamed vs Immune-desert,1148,2.15855043082307e-18,-0.743,3.17174757182165e-18
MHC_Class_I,Inflamed vs Intermediate,5769,9.62634206131757e-07,-0.35,1.11789778776591e-06
MHC_Class_I,Intermediate vs Immune-desert,2754,3.2940630277712e-12,-0.556,4.08918168964701e-12
MHC_Class_II,Inflamed vs Immune-desert,411,1.08917963173387e-26,-0.908,2.90447901795699e-26
MHC_Class_II,Inflamed vs Intermediate,3953,7.96459465751765e-15,-0.554,1.08198267045523e-14
MHC_Class_II,Intermediate vs Immune-desert,1866,1.97425694387099e-18,-0.699,2.96138541580649e-18
IFN_Gamma_Response,Inflamed vs Immune-desert,221,4.3067920352156e-29,-0.95,1.3482131588501e-28
IFN_Gamma_Response,Inflamed vs Intermediate,2911,4.76020946831103e-21,-0.672,8.78807901842036e-21
IFN_Gamma_Response,Intermediate vs Immune-desert,1736,1.85679509307098e-19,-0.72,3.03839197047978e-19
IFN_Alpha_Response,Inflamed vs Immune-desert,1202,7.55411708635995e-18,-0.731,1.08779286043583e-17
IFN_Alpha_Response,Inflamed vs Intermediate,5331,2.25631690978154e-08,-0.399,2.70758029173784e-08
IFN_Alpha_Response,Intermediate vs Immune-desert,3194,1.23553700307988e-09,-0.485,1.50777396986019e-09
T_Cell_Cytotoxicity,Inflamed vs Immune-desert,27,1.17168130289247e-31,-0.994,1.05451317260322e-30
T_Cell_Cytotoxicity,Inflamed vs Intermediate,1516,3.32901935321575e-31,-0.829,2.39689393431534e-30
T_Cell_Cytotoxicity,Intermediate vs Immune-desert,736,2.39944188093122e-28,-0.881,6.9103926170819e-28
T_Cell_Exhaustion,Inflamed vs Immune-desert,117,1.87486828582244e-30,-0.974,7.7316766312444e-30
T_Cell_Exhaustion,Inflamed vs Intermediate,1329,1.00446308367833e-32,-0.85,2.410711400828e-31
T_Cell_Exhaustion,Intermediate vs Immune-desert,2037,3.98803407915304e-17,-0.672,5.63016575880429e-17
Chemokine_T_Cell_Recruitment,Inflamed vs Immune-desert,1,5.20488854996858e-32,-1,6.2458662599623e-31
Chemokine_T_Cell_Recruitment,Inflamed vs Intermediate,1261,2.75254139561726e-33,-0.858,9.90914902422212e-32
Chemokine_T_Cell_Recruitment,Intermediate vs Immune-desert,507,1.25105576310542e-30,-0.918,5.62975093397439e-30
MAPK_Activity,Inflamed vs Immune-desert,1766,1.09736800632827e-12,-0.604,1.41090172242207e-12
MAPK_Activity,Inflamed vs Intermediate,7040,0.00383856052506005,-0.206,0.00418752057279278
MAPK_Activity,Intermediate vs Immune-desert,3482,3.93673760917104e-08,-0.439,4.64664111246417e-08
TGFb_Immunosuppression,Inflamed vs Immune-desert,77,5.50542978822793e-31,-0.983,3.30325787293676e-30
TGFb_Immunosuppression,Inflamed vs Intermediate,1375,2.39564708460491e-32,-0.845,4.31216475228884e-31
TGFb_Immunosuppression,Intermediate vs Immune-desert,1785,4.56252417727997e-19,-0.712,7.28348649967979e-19
M1_Macrophage,Inflamed vs Immune-desert,0,5.04448820552504e-32,-1,6.2458662599623e-31
M1_Macrophage,Inflamed vs Intermediate,931,4.37208322377899e-36,-0.895,3.14789992112087e-34
M1_Macrophage,Intermediate vs Immune-desert,643,2.91170964902136e-29,-0.896,9.85510670415601e-29
M2_Macrophage,Inflamed vs Immune-desert,241,7.8018449186491e-29,-0.946,2.34055347559473e-28
M2_Macrophage,Inflamed vs Intermediate,2460,4.19902488841285e-24,-0.723,9.75257393437823e-24
M2_Macrophage,Intermediate vs Immune-desert,2072,7.27155381971752e-17,-0.666,1.00683052888396e-16
Glioma_Inflammatory_Wang2017,Inflamed vs Immune-desert,26,1.13577753685702e-31,-0.994,1.05451317260322e-30
Glioma_Inflammatory_Wang2017,Inflamed vs Intermediate,1907,3.79922908678992e-28,-0.785,1.05209420864952e-27
Glioma_Inflammatory_Wang2017,Intermediate vs Immune-desert,501,1.08698561203154e-30,-0.919,5.21753093775141e-30
NK_Cell_Activity,Inflamed vs Immune-desert,72,4.71987978083485e-31,-0.984,3.08937585654645e-30
NK_Cell_Activity,Inflamed vs Intermediate,2657,9.6431478909381e-23,-0.7,2.04207837690454e-22
NK_Cell_Activity,Intermediate vs Immune-desert,1005,8.78767548525202e-26,-0.838,2.18176770668326e-25
Tregs_Friebel2020,Inflamed vs Immune-desert,91,8.4644865661474e-31,-0.98,4.35316451973295e-30
Tregs_Friebel2020,Inflamed vs Intermediate,1615,2.05110047728246e-30,-0.818,7.77259128233354e-30
Tregs_Friebel2020,Intermediate vs Immune-desert,1623,2.25068949967208e-20,-0.738,3.95243034088756e-20
