axis	LM22 column	peer method	spearman_rho	p	n
CD8 T	CD8 T_LM22	xCell_T cell CD8+	-0.017432464940006227	0.6447340248873843	702
CD8 T	CD8 T_LM22	quanTIseq_T cell CD8+	0.29895226693986005	5.845440940894566e-16	702
CD8 T	CD8 T_LM22	MCP_T cell CD8+	0.43658232102087174	4.930907852865398e-34	702
CD8 T	CD8 T_LM22	EPIC_T cell CD8+	0.09563986847343299	0.011234998706186383	702
NK	NK_LM22	xCell_NK cell	0.07934838576382902	0.03555972971551702	702
NK	NK_LM22	quanTIseq_NK cell	-0.029367318703460803	0.43723173244069324	702
NK	NK_LM22	MCP_NK cell	-0.13922582964011174	0.00021535328787353818	702
Macrophage	Macrophage_LM22	xCell_Macrophage	0.40771324032736905	1.706115358328776e-29	702
Macrophage	Macrophage_LM22	MCP_Macrophage/Monocyte	0.1976181047432643	1.3006087757584245e-07	702
Macrophage	Macrophage_LM22	EPIC_Macrophage	0.3197625770641762	3.7484500215376864e-18	702
Myeloid	Myeloid_LM22	xCell_Monocyte	0.2181178944882835	5.243791738929863e-09	702
