ssGSEA signature	LM22 axis	spearman_rho	p	n
Microglia_Core_Homeostatic	LM22 Macrophages (M0+M1+M2)	0.10872396419359405	0.003925437050769785	702
Microglia_Core_Homeostatic	LM22 Macrophage+Monocyte	0.24739292244360192	2.9983229118132305e-11	702
Microglia_Core_Homeostatic	LM22 M2	0.2534040039503319	9.521130842750671e-12	702
Microglia_Core_Homeostatic	LM22 M1	0.05573214753584287	0.14017110259861415	702
Microglia_Core_Homeostatic	LM22 Monocytes	0.30148436632207587	3.230496490893294e-16	702
Microglia_Klemm2020	LM22 Macrophages (M0+M1+M2)	0.11769337762280174	0.0017863832955686068	702
Microglia_Klemm2020	LM22 Macrophage+Monocyte	0.25669609729974624	5.015188116693986e-12	702
Microglia_Klemm2020	LM22 M2	0.26483874051006695	9.877050983667709e-13	702
Microglia_Klemm2020	LM22 M1	0.06671823318753109	0.07730582273787028	702
Microglia_Klemm2020	LM22 Monocytes	0.30459843274960996	1.5453860781596425e-16	702
MDM_Klemm2020	LM22 Macrophages (M0+M1+M2)	0.24883164856135798	2.2846895796535156e-11	702
MDM_Klemm2020	LM22 Macrophage+Monocyte	0.27404992244694926	1.4679646329686184e-13	702
MDM_Klemm2020	LM22 M2	0.19485503714682023	1.955746381718976e-07	702
MDM_Klemm2020	LM22 M1	0.21068779403042126	1.7438657373253844e-08	702
MDM_Klemm2020	LM22 Monocytes	0.08178161616218466	0.030265691353027237	702
MgTAM_Antunes2021	LM22 Macrophages (M0+M1+M2)	0.12152327438760352	0.001255249947510382	702
MgTAM_Antunes2021	LM22 Macrophage+Monocyte	0.26286877589527935	1.4709219453281454e-12	702
MgTAM_Antunes2021	LM22 M2	0.2626753252533667	1.529315711943514e-12	702
MgTAM_Antunes2021	LM22 M1	0.061574489204972487	0.1030860474811124	702
MgTAM_Antunes2021	LM22 Monocytes	0.30966491970504	4.568175310473187e-17	702
MoTAM_Antunes2021	LM22 Macrophages (M0+M1+M2)	0.17754753373043033	2.2074030363591016e-06	702
MoTAM_Antunes2021	LM22 Macrophage+Monocyte	0.26780110517628347	5.392902560230345e-13	702
MoTAM_Antunes2021	LM22 M2	0.11856860782103308	0.0016494483671844122	702
MoTAM_Antunes2021	LM22 M1	0.19916413576507871	1.0325432117489712e-07	702
MoTAM_Antunes2021	LM22 Monocytes	0.186571959041171	6.416410268760544e-07	702
DAM_KerenShaul2017	LM22 Macrophages (M0+M1+M2)	0.31111322356911364	3.2102611112040885e-17	702
DAM_KerenShaul2017	LM22 Macrophage+Monocyte	0.32837190138789357	4.1198528611721494e-19	702
DAM_KerenShaul2017	LM22 M2	0.33475846305846996	7.646236650475685e-20	702
DAM_KerenShaul2017	LM22 M1	0.21689324300438306	6.4115031067213605e-09	702
DAM_KerenShaul2017	LM22 Monocytes	0.07915221637672364	0.036018949415026556	702
