module	group1	group2	q_BH	cliffs_delta
Antigen_presentation_HLA_I	Lymphocyte-inflamed	Myeloid-dominant	9.607428268848551e-12	0.5365990990990991
Antigen_presentation_HLA_I	Lymphocyte-inflamed	Immune-desert	3.8073782048094116e-23	0.7616077616077616
Antigen_presentation_HLA_I	Myeloid-dominant	Immune-desert	4.813100817817922e-06	0.430448717948718
Antigen_presentation_HLA_II	Lymphocyte-inflamed	Myeloid-dominant	3.497356026189198e-14	0.6306306306306306
Antigen_presentation_HLA_II	Lymphocyte-inflamed	Immune-desert	3.4269452293351556e-38	0.9353199353199353
Antigen_presentation_HLA_II	Myeloid-dominant	Immune-desert	1.3567916211178286e-12	0.6878205128205128
CCR2_chemokine_axis	Lymphocyte-inflamed	Myeloid-dominant	8.281775307961397e-20	0.7222972972972973
CCR2_chemokine_axis	Lymphocyte-inflamed	Immune-desert	1.6294866967802697e-34	0.9136059136059136
CCR2_chemokine_axis	Myeloid-dominant	Immune-desert	5.2718257753496e-07	0.4980769230769231
CSF1R_TAM_axis	Lymphocyte-inflamed	Myeloid-dominant	1.3534394364246514e-10	0.498536036036036
CSF1R_TAM_axis	Lymphocyte-inflamed	Immune-desert	6.572588151213119e-23	0.7782397782397782
CSF1R_TAM_axis	Myeloid-dominant	Immune-desert	1.1631016834805057e-06	0.4387820512820513
Exhaustion_core	Lymphocyte-inflamed	Myeloid-dominant	2.8113762631592243e-21	0.7486486486486487
Exhaustion_core	Lymphocyte-inflamed	Immune-desert	7.34658215702282e-35	0.9175329175329175
Exhaustion_core	Myeloid-dominant	Immune-desert	1.8984996901012703e-06	0.4790064102564103
Hypoxia_HIF_targets	Lymphocyte-inflamed	Myeloid-dominant	0.2712107014743875	0.08581081081081081
Hypoxia_HIF_targets	Lymphocyte-inflamed	Immune-desert	0.00012837162321229525	0.33471933471933474
Hypoxia_HIF_targets	Myeloid-dominant	Immune-desert	0.0010344497888593383	0.28125
MDSC_granulocytic	Lymphocyte-inflamed	Myeloid-dominant	1.7196079704868825e-09	0.47871621621621624
MDSC_granulocytic	Lymphocyte-inflamed	Immune-desert	9.645920046811045e-29	0.8588588588588588
MDSC_granulocytic	Myeloid-dominant	Immune-desert	5.448594447308086e-11	0.5975961538461538
MDSC_monocytic	Lymphocyte-inflamed	Myeloid-dominant	4.369537503919075e-16	0.6922297297297297
MDSC_monocytic	Lymphocyte-inflamed	Immune-desert	4.883598590561701e-44	0.9736659736659736
MDSC_monocytic	Myeloid-dominant	Immune-desert	1.8452051074104107e-14	0.7657051282051283
Senescence_T_cell	Lymphocyte-inflamed	Myeloid-dominant	1.9267218412282336e-14	0.5992117117117117
Senescence_T_cell	Lymphocyte-inflamed	Immune-desert	1.0052925210283901e-29	0.8754908754908755
Senescence_T_cell	Myeloid-dominant	Immune-desert	1.0199242511891568e-07	0.49439102564102566
Suppressive_cytokine_axis	Lymphocyte-inflamed	Myeloid-dominant	2.45125532105682e-20	0.7704954954954955
Suppressive_cytokine_axis	Lymphocyte-inflamed	Immune-desert	1.8465235362857696e-43	0.9671979671979672
Suppressive_cytokine_axis	Myeloid-dominant	Immune-desert	5.056368393447507e-11	0.6774038461538462
TCM_Naive_loss	Lymphocyte-inflamed	Myeloid-dominant	3.4619062229888564e-20	0.7747747747747747
TCM_Naive_loss	Lymphocyte-inflamed	Immune-desert	1.5380679178856607e-44	0.9681219681219682
TCM_Naive_loss	Myeloid-dominant	Immune-desert	1.1110704323004347e-11	0.7049679487179488
Treg_signature	Lymphocyte-inflamed	Myeloid-dominant	1.728170099223513e-16	0.665990990990991
Treg_signature	Lymphocyte-inflamed	Immune-desert	1.4329389683123147e-34	0.9032109032109032
Treg_signature	Myeloid-dominant	Immune-desert	6.581014379106705e-09	0.5685897435897436
HLA_I_minus_II	Lymphocyte-inflamed	Myeloid-dominant	2.8982360172806925e-05	-0.31092342342342344
HLA_I_minus_II	Lymphocyte-inflamed	Immune-desert	2.3961385233155564e-21	-0.7948717948717948
HLA_I_minus_II	Myeloid-dominant	Immune-desert	9.807393451557738e-11	-0.5389423076923077
