module	H	p	eps2	median_DMG_K27	median_DHG_G34	median_pHGG_WT	median_IHG	q_BH
Senescence_T_cell	35.404123863422456	1.0007923849568978e-07	0.09392499670557233	0.4684156234366042	0.3900841525016259	0.4345000134205555	0.41159211843279786	9.785082697735343e-07
HLA_I_minus_II	34.56487029085247	1.5053973381131297e-07	0.09149237765464484	-0.022131123111884587	0.07290335800698666	-0.0018651905341289243	0.014222824261625355	9.785082697735343e-07
MDSC_granulocytic	31.443333212658672	6.856106786333866e-07	0.08244444409466281	0.3357074419618213	0.1834003490326228	0.29017781354436495	0.2845987696643578	2.970979607411342e-06
MDSC_monocytic	29.882365813229853	1.4609649792193578e-06	0.07791990090791262	0.4815169170743295	0.3899054478713129	0.44810342029656514	0.48061199535124244	4.7481361824629125e-06
Antigen_presentation_HLA_II	22.839229426185966	4.3621905178618185e-05	0.05750501282952454	0.6739388464958654	0.5788669862479612	0.6458824093263468	0.6415136214101207	0.00011341695346440728
CCR2_chemokine_axis	19.071940880222655	0.00026419257413919247	0.04658533588470335	0.24116712806696824	0.13275397513076684	0.20442807997126902	0.2796553990083979	0.0005724172439682503
CSF1R_TAM_axis	13.830435760922	0.003145284125743999	0.03139256742296232	0.289509483446165	0.25954336086822216	0.2911223246862376	0.34278824084952675	0.005841241947810284
Suppressive_cytokine_axis	13.311250510986838	0.004009649253637632	0.02988768264054156	0.4288802603410999	0.38591403862119283	0.41252669025448785	0.42283450232021197	0.006515680037161152
Hypoxia_HIF_targets	12.642967739219102	0.005475910635017399	0.02795063112817131	0.6406774366213461	0.6187640367465611	0.6414410766533415	0.654161861389992	0.007909648695025133
TCM_Naive_loss	11.69184177928355	0.008516899639911285	0.025193744287778406	0.3306283040737505	0.260029570696205	0.31132088180715695	0.33414318184126157	0.01107196953188467
Exhaustion_core	4.112639364182314	0.2495551840337962	0.0032250416353110556	0.2816324401655064	0.24906230641936464	0.25158246360323705	0.23086055176881654	0.2949288538581228
Treg_signature	3.3627698630966734	0.339001363760453	0.001051506849555575	0.290317382010148	0.2538782920154161	0.2949564765861709	0.2992243166424332	0.36725147740715736
Antigen_presentation_HLA_I	1.635713443909708	0.6513194183160065	0.0	0.6524096134473826	0.6566716675667748	0.6514866184968852	0.6584266607067668	0.6513194183160065
