module	H	p	eps2	median_Lymph	median_Mye	median_Desert	q_BH
TCM_Naive_loss	205.19163633675248	2.7746122740011238e-45	0.5872590645570881	0.4013246755704836	0.3046928261118391	0.22631450915640527	3.6069959562014606e-44
Suppressive_cytokine_axis	201.02014926392417	2.233722463135084e-44	0.5752027435373531	0.47721970605212316	0.41329882106183213	0.34538259087006357	1.4519196010378045e-43
MDSC_monocytic	198.0385091448859	9.919371072080793e-44	0.566585286545913	0.5328640975947471	0.46095346219939337	0.3607139026251809	4.29839413123501e-43
Antigen_presentation_HLA_II	171.07616508450906	7.100399084266422e-38	0.4886594366604308	0.707875240154201	0.6527831801561992	0.5630607297787592	2.3076297023865873e-37
Exhaustion_core	169.06856096250203	1.9374408631389095e-37	0.4828571126083874	0.36397992162999915	0.2531921321063283	0.1888637743686124	5.037346244161165e-37
CCR2_chemokine_axis	164.69796085382904	1.7230275050290848e-36	0.47022532038678916	0.34822119242456717	0.1950991079494582	0.08075751312407509	3.73322626089635e-36
Treg_signature	158.9083928658656	3.115164070185102e-35	0.4534924649302474	0.3724572672161588	0.2851426275723177	0.21903527860936756	5.785304701772333e-35
Senescence_T_cell	136.0679539266589	2.839351913023263e-30	0.3874796356261818	0.5055381278869712	0.43985342827366647	0.37915472402369255	4.613946858662802e-30
MDSC_granulocytic	126.22028738906124	3.904926297768525e-28	0.3590181716446857	0.40608109155204114	0.29616826399139295	0.19283141484801247	5.640449096776759e-28
Antigen_presentation_HLA_I	105.26293237286222	1.388176412612018e-23	0.29844778142445727	0.6687832460104923	0.6498573100221969	0.6169614938446746	1.8046293363956234e-23
CSF1R_TAM_axis	102.51550176583282	5.483295319726917e-23	0.2905072305370891	0.35082472055530584	0.28050277044653765	0.2318711065936857	6.48025810513181e-23
HLA_I_minus_II	92.57270024840795	7.90848970511344e-21	0.261770809966497	-0.03427017023610879	-0.006453390690085992	0.049575513470358046	8.567530513872893e-21
Hypoxia_HIF_targets	17.861383301009482	0.00013226651068691726	0.04584214826881353	0.6488248184136131	0.6400946781629308	0.6164398380390939	0.00013226651068691726
