module	H	p	eps2	median_DMG_K27	median_DHG_G34	median_pHGG_WT	median_IHG	q_BH
Bagaev_Granulocyte_traffic	33.36049386313948	2.7033036312967524e-07	0.08800143148736081	0.2171539111428609	0.12791735255101533	0.16562705122429797	0.16807344851393072	6.758259078241881e-06
Bagaev_NK_cells	31.31612699784273	7.292411238260228e-07	0.08207573042852966	0.1401947706370504	0.03824806600917717	0.09004371537904653	0.07096250766751001	9.115514047825284e-06
Bagaev_Immune_Suppression_Myeloid	27.927706879192783	3.761174497692029e-06	0.07225422283823996	0.20123226751935297	0.1443983193733618	0.16866490766944023	0.16414953624847078	3.134312081410024e-05
Bagaev_Neutrophil_signature	24.53370675127462	1.9325157652637505e-05	0.06241654130804238	0.18562837344712055	0.08870194409508242	0.16601733757731024	0.1805781428516097	0.0001207822353289844
Bagaev_MHC_II	22.839229426185966	4.3621905178618185e-05	0.05750501282952454	0.4660580403768058	0.4003117117410553	0.44665579313261006	0.4436345861705172	0.00020648053841814334
Bagaev_T_cells	22.573376047605734	4.95553292203544e-05	0.05673442332639343	0.18280569956931395	0.07489534734327818	0.1638735401418757	0.18274305757403386	0.00020648053841814334
Bagaev_Tumor_proliferation	17.425616256811963	0.0005776616052399052	0.041813380454527434	0.38568921338436585	0.43080959293652227	0.3941876649359439	0.38081422150446703	0.00206307716157109
Bagaev_B_cells	16.46947317217814	0.0009084122261553847	0.039041951223704754	0.12414396372458479	0.02221746044127091	0.09128594619326122	0.07018076403343557	0.002838788206735577
Bagaev_Th1_signature	16.196283193700992	0.0010335999479473778	0.038250096213626066	0.09751090005366693	0.053188568901806475	0.06393848588432074	0.048110613303008615	0.002871110966520494
Bagaev_Myeloid_cells_traffic	15.655322358989224	0.0013342312258437091	0.036682093794171665	0.194575295439649	0.14055190480003094	0.1895780157779337	0.21993852387401341	0.003335578064609273
Bagaev_Coactivation	15.403719293231234	0.0015022124348923664	0.03595280954559778	0.12483572048463752	0.0725177301970343	0.12334235319646945	0.1529355781341663	0.0034141191702099236
Bagaev_M1_signature	13.065843109721982	0.004496358037445632	0.029176356839773862	0.18939691977400536	0.14037195555279147	0.17245202646813818	0.1882560728685702	0.009367412578011734
Bagaev_Effector_cells	12.774572185667239	0.005150356219824395	0.0283320932917891	0.1010773618129528	0.008404701904749285	0.0709345469914626	0.049447443625487204	0.00990453119196999
Bagaev_Angiogenesis	11.20767505510912	0.0106543028843768	0.023790362478577163	0.36360350282149784	0.3554173044267296	0.3534421213100669	0.35859930903930837	0.01902554086495857
Bagaev_Treg_Th2_traffic	10.985021422201953	0.011807146754385614	0.02314498962957088	-0.10637533110716595	-0.2291824850452623	-0.12044662384382804	-0.10158285641991141	0.019678577923976023
TIS_Danaher18	10.663492158529152	0.013691877518227303	0.022213020749359862	0.2772852826087875	0.24214226182790838	0.26549461053575124	0.2822468251381675	0.02139355862223016
Bagaev_Th2_signature	9.310494541462276	0.02543523320619549	0.01829128852597761	0.05991657554453424	0.020597154735895403	0.03182395799539618	0.034905508293188135	0.03740475471499336
Bagaev_Protumor_cytokines	7.398976504750635	0.06021179131805449	0.012750656535509088	0.18926577519066448	0.17050514822901564	0.17684820734873563	0.184650409683486	0.08362748794174235
Bagaev_Antitumor_cytokines	6.027491438103652	0.11028034051056519	0.008775337501749718	0.03217335560526016	-0.02973798592790096	0.02116992342305068	0.007724123287755411	0.13449155820617623
Bagaev_TAMs	5.922443116588283	0.1154451118902685	0.008470849613299372	0.2637044799153287	0.22365082446977894	0.26482561937222343	0.2782081867000319	0.13449155820617623
Bagaev_Macrophage_DC_traffic	5.896503120725583	0.1167555921774583	0.008395661219494444	0.014837742941925705	-0.02914125529172991	-0.007164917536847875	0.062030187783950794	0.13449155820617623
Bagaev_Checkpoint_inhibitor	5.865265149632933	0.11835257122143508	0.00830511637574763	0.19269171984739447	0.16333315320438235	0.18904841444711748	0.18150228876822616	0.13449155820617623
Bagaev_Effector_cell_traffic	5.660110412659151	0.12936976483986054	0.007710464964229423	0.1611389607980924	0.10617965744269546	0.15472701263164768	0.15260542211116807	0.14061930960854405
Bagaev_Treg	3.3165157102175726	0.3453505724684214	0.0009174368412103555	0.22076769188342263	0.19859146436200836	0.23038689809453577	0.2343810889583212	0.35974017965460564
Bagaev_MHC_I	2.2963908526255636	0.5132126763981699	0.0	0.4689174404817343	0.4689817815216057	0.46615636159039014	0.4748642447993006	0.5132126763981699
