module	H	p	eps2	median_Lymphocyte-inflamed	median_Myeloid-dominant	median_Immune-desert	q_BH
TIS_Danaher18	227.8912406540644	3.266223167270046e-50	0.652864857381689	0.3257576463998623	0.2654838489860357	0.20811845404907603	8.165557918175116e-49
Bagaev_Effector_cell_traffic	207.1331593904431	1.0510077749228473e-45	0.5928704028625523	0.2535299094544492	0.13604544529255758	0.017513349741959297	1.313759718653559e-44
Bagaev_Coactivation	205.18703823772444	2.7809985834090495e-45	0.5872457752535388	0.20105544498565625	0.1085921076614132	0.039326135681049236	2.3174988195075414e-44
Bagaev_M1_signature	203.75577517630677	5.68847157794176e-45	0.5831091768101352	0.23723684271365097	0.16924365998490484	0.10287451313751828	3.5552947362136e-44
Bagaev_T_cells	198.41177100979235	8.230597290491074e-44	0.5676640780629837	0.2543659570166316	0.15885904542260185	0.05473417161274362	4.115298645245537e-43
Bagaev_Effector_cells	191.70553851727914	2.353267168586655e-42	0.5482819032291305	0.18682983904175487	0.07093916968411706	-0.04428457185097335	9.805279869111062e-42
Bagaev_Antitumor_cytokines	186.75062736334348	2.8029575598221385e-41	0.5339613507611083	0.09450146240954499	0.012329044604984508	-0.06312772308628851	1.0010562713650493e-40
Bagaev_Checkpoint_inhibitor	176.30590884218395	5.195870656893143e-39	0.5037743030120924	0.2520955536581499	0.1856578164432732	0.13368036401968403	1.623709580279107e-38
Bagaev_MHC_II	171.07616508450906	7.100399084266422e-38	0.4886594366604308	0.48952653341307534	0.4514279764646332	0.3893809975463888	1.9489528972951477e-37
Bagaev_NK_cells	170.88929384009475	7.79581158918059e-38	0.48811934635865534	0.18770277882441855	0.102211296491246	0.010385173478923593	1.9489528972951477e-37
Bagaev_Treg	165.05350812963843	1.4424012838223369e-36	0.47125291366947525	0.2802266642823083	0.21845103425622486	0.17515430840001728	3.2781847359598565e-36
Bagaev_Th1_signature	164.55899095978748	1.8470095428730226e-36	0.46982367329418345	0.16015986566356846	0.06510217206632314	0.026549062488888026	3.8479365476521306e-36
Bagaev_Immune_Suppression_Myeloid	159.42636907860992	2.4043839466051718e-35	0.4549895060075431	0.2332036799829944	0.18117508393575363	0.13075081918313464	4.623815281933023e-35
Bagaev_TAMs	146.9193371204417	1.2498885853086003e-32	0.41884201479896443	0.33672919085753517	0.24381289693291947	0.18492875218398236	2.231943902336786e-32
Bagaev_Macrophage_DC_traffic	141.41902490419807	1.955459942976295e-31	0.40294515868265335	0.10122466367335986	-0.0012520575828153593	-0.09837407044954831	3.2590999049604918e-31
Bagaev_B_cells	130.94346057257212	3.6811949367289664e-29	0.372668961192405	0.1910974672332997	0.08051975115105338	-0.0076663005100800945	5.751867088639009e-29
Bagaev_Neutrophil_signature	123.55855871755466	1.4777462928316845e-27	0.3513253142125857	0.26561291661584785	0.16407943048971216	0.09999115279736198	2.1731563129877713e-27
Bagaev_Granulocyte_traffic	104.32085404690565	2.2233834570602837e-23	0.2957250116962591	0.2617641770219646	0.19281509192009513	0.12501898649736817	3.088032579250394e-23
Bagaev_Myeloid_cells_traffic	102.49020948605335	5.553078151122513e-23	0.2904341314625819	0.24253497889176312	0.1846940293128872	0.147293568347076	7.306681777792781e-23
Bagaev_Protumor_cytokines	92.69837048106388	7.426849260581798e-21	0.26213401873139847	0.22137116208937	0.1825089687910803	0.15426667466386734	9.283561575727247e-21
Bagaev_MHC_I	88.54113535597048	5.936585769817837e-20	0.2501188883120534	0.47791769625744296	0.46695423228834637	0.44114167077914934	7.067364011687901e-20
Bagaev_Treg_Th2_traffic	80.12686395769492	3.987241725765619e-18	0.22580018484882924	0.021319348136436475	-0.14511210014903936	-0.19043183337260863	4.53095650655184e-18
Bagaev_Angiogenesis	76.95463810981869	1.9476578069171785e-17	0.2166319020514991	0.3732671451049702	0.3588249767425379	0.3294949393904306	2.1170193553447592e-17
Bagaev_Th2_signature	51.66186795656131	6.0501746394316466e-12	0.14353141027907892	0.08443018968594238	0.03952561392993007	0.010769856467268708	6.302265249407966e-12
Bagaev_Tumor_proliferation	1.113503571662477	0.5730674898721995	0.0	0.38568921338436585	0.3885637377332569	0.4107070563121653	0.5730674898721995
