module	H	p	median_C1_hot	median_C2_intermediate	median_C3_cold
Bagaev_Checkpoint_inhibitor	49.50233216724973	1.7811690872647853e-11	0.31218017104872936	0.2555615177281685	0.19734220276575132
TIS_Danaher18	47.730187427294794	4.320375454688877e-11	0.40573415072193436	0.3502354417917314	0.30933213621449096
Bagaev_Coactivation	46.595182800756504	7.620520104524757e-11	0.230685717799679	0.16459138032129877	0.10343506203672972
Bagaev_Treg	45.642945334055696	1.226762104309631e-10	0.3397350407369698	0.29804637544694906	0.25700312728102487
Bagaev_T_cells	43.794362622610294	3.091540834714782e-10	0.3526222038711015	0.28033784253467336	0.2185355128115408
Bagaev_Effector_cells	41.58824999265073	9.315930890376692e-10	0.2606748573647221	0.16231943044896366	0.10273251759378206
Bagaev_Treg_Th2_traffic	40.63812561506364	1.4981080760891972e-09	0.10926510548446637	-0.013810625307284975	-0.18715775615448807
Bagaev_Effector_cell_traffic	40.14256317219542	1.9193455160079485e-09	0.3216425037717423	0.22341339062747892	0.1498036008457553
Bagaev_Macrophage_DC_traffic	39.299971162877966	2.924958391655e-09	0.19274188991725408	0.09270265948779353	-0.03085255017243147
Bagaev_Immune_Suppression_Myeloid	39.029665839349235	3.3482335801777234e-09	0.2800682770528602	0.21046176474024794	0.2149588238883116
Bagaev_B_cells	36.060772134940976	1.4774160895193269e-08	0.24707437013407174	0.13031680284455954	0.06474391375248471
Bagaev_MHC_II	35.78627702955248	1.6947618494744458e-08	0.5701924124857145	0.5635065412940532	0.5206274483957856
Bagaev_TAMs	33.90896918487536	4.3327227348150676e-08	0.35218800191414806	0.33873551515878203	0.22910093735787956
Bagaev_Antitumor_cytokines	32.739497198179635	7.775145291206125e-08	0.12712766749222743	0.0023650456621773577	-0.012034920165837626
Bagaev_NK_cells	31.355752795870984	1.5530476915860738e-07	0.203071512305627	0.16795549548520966	0.05454503070399734
Bagaev_M1_signature	30.350137956232004	2.5677413820768096e-07	0.27423571051725165	0.19462063705106325	0.20204032003725175
Bagaev_Th1_signature	28.48309388723004	6.530925784898849e-07	0.19069176023085396	0.11082161796369014	0.08892310132439997
Bagaev_Myeloid_cells_traffic	26.758521999504467	1.5468947868808513e-06	0.2885392311758475	0.241771883000409	0.20380105839098692
Bagaev_Th2_signature	24.10838418325855	5.820105951687812e-06	0.10788315154327995	0.02928312547996174	-0.012296625480461794
Bagaev_MHC_I	22.25773597794941	1.4682298272278712e-05	0.5384592866926814	0.5379055737078958	0.5117070169031814
Bagaev_Protumor_cytokines	13.525211483893912	0.0011562124539238436	0.24558128481522717	0.19453754470399232	0.19503159639411183
Bagaev_Tumor_proliferation	12.795408318249855	0.0016653763265699233	0.3019646005662386	0.29640746318325034	0.2530894644020243
Bagaev_Neutrophil_signature	10.263541898518525	0.005906091817758871	0.24741054342955746	0.2024166606970882	0.17637754549156992
Bagaev_Granulocyte_traffic	4.979013994403374	0.08295085149806489	0.19762095416540418	0.1326532920068498	0.18113502120437347
Bagaev_Angiogenesis	3.0013249677682268	0.22298238896668957	0.40453307298521496	0.4138738850017646	0.3952665082995199
