gene	log2FC	pvalue	q_BH
SLAMF7	0.9588846633645722	1.2792382898126598e-09	1.2260822780065394e-05
GPR171	0.6316459122832836	1.8079811147179356e-09	1.2260822780065394e-05
CD5	0.7151967907174523	1.878477521076359e-09	1.2260822780065394e-05
FCER1A	1.9564244903700339	5.2020635159873924e-09	1.7609348543973807e-05
CD3G	0.7388668592892158	5.399229157892407e-09	1.7609348543973807e-05
CCR2	1.0512729998892592	6.263159318487896e-09	1.7609348543973807e-05
CD96	0.8182263838822995	7.533633231668276e-09	1.7609348543973807e-05
P2RY10	0.655041324181446	7.533633231668276e-09	1.7609348543973807e-05
TBC1D10C	0.8914988060531489	8.412708886688242e-09	1.7609348543973807e-05
SLAMF6	0.677297764284148	1.0479956737680968e-08	1.7609348543973807e-05
MCOLN2	0.5353117265259304	1.1272941992467757e-08	1.7609348543973807e-05
LCK	1.0408787417669076	1.1691003067854527e-08	1.7609348543973807e-05
CD27	1.0639379097814068	1.1691003067854527e-08	1.7609348543973807e-05
IGHM	2.636453894127392	1.4017818373200985e-08	1.8298860104376562e-05
TRBC1	1.4971907561187263	1.4017818373200985e-08	1.8298860104376562e-05
CXCR3	0.6392147295137725	1.6197603840722932e-08	1.9341434255601225e-05
IL2RG	1.5701760045517639	1.6792011763710782e-08	1.9341434255601225e-05
SIT1	0.6673774185342216	1.938867213000777e-08	1.9981557314614848e-05
HSH2D	0.47932740873088636	1.938867213000777e-08	1.9981557314614848e-05
SEPTIN1	0.8626628880367925	2.1587953658390272e-08	2.0861668055741896e-05
VMO1	1.0452571743545704	2.2373475776036965e-08	2.0861668055741896e-05
PRF1	1.2364124608124243	2.6736203147581198e-08	2.379643608330852e-05
PVRIG	0.4839697052334801	3.0810620673667116e-08	2.6230554930916338e-05
PTPN22	0.8039340022517307	3.6756660871791377e-08	2.998884068877279e-05
SELP	0.694557486080953	4.2301169288710194e-08	3.185766137854747e-05
CXCL9	0.9969895191491474	4.2301169288710194e-08	3.185766137854747e-05
TRAC	1.7018108486644135	4.536941348386612e-08	3.290290686768824e-05
CTLA4	0.6566322846613651	5.2166301921136676e-08	3.648101278277776e-05
CST7	1.212140145542921	5.5925021302063804e-08	3.7207407839563904e-05
NNMT	2.491598699550622	5.790150888625076e-08	3.7207407839563904e-05
LTBP2	1.9718272710419953	6.424565180345441e-08	3.7207407839563904e-05
GZMM	0.5220911242613779	6.650627007735747e-08	3.7207407839563904e-05
LAG3	0.4080888823939662	6.650627007735747e-08	3.7207407839563904e-05
CCL5	1.854843267436309	6.650627007735747e-08	3.7207407839563904e-05
IGLC1	3.074461916534861	6.650627007735747e-08	3.7207407839563904e-05
CD3E	1.4633796309993334	7.126095697365145e-08	3.876002218058525e-05
HOXB2	1.155905317782492	7.376016145840341e-08	3.903507355451344e-05
IGKC	3.912915234625487	7.634416588671643e-08	3.933934505862617e-05
CD2	1.6587310688424641	7.901574488301398e-08	3.967198206549479e-05
RUNX3	0.7633679416101941	8.463316363374608e-08	4.143004942780955e-05
IGLL5	1.5301786697944255	9.379062207003066e-08	4.223011885107816e-05
ITK	0.6996166139330273	9.379062207003066e-08	4.223011885107816e-05
TRBV27	0.6594393150156099	9.705098556245939e-08	4.223011885107816e-05
CD1C	0.5286568022860461	9.705098556245939e-08	4.223011885107816e-05
TRBV6-2	0.5742138647004045	9.705098556245939e-08	4.223011885107816e-05
IL2RB	0.798059104788623	1.0042093916635848e-07	4.27465741264449e-05
IGHV3-30	2.9604722423914964	1.0750392598265332e-07	4.478796541843266e-05
OLFML2B	1.6122080228494533	1.150693241073991e-07	4.694109240306212e-05
CD6	0.7594082932532129	1.1904273057403303e-07	4.728187495157155e-05
SLAMF8	1.4111704499997908	1.231487473842066e-07	4.728187495157155e-05
MAMDC2	0.8609082418300382	1.231487473842066e-07	4.728187495157155e-05
IGLV2-14	2.83951404925312	1.3177579419667326e-07	4.962118896471267e-05
NKG7	1.4882310537008692	1.409861661204535e-07	5.091660707279561e-05
IGHV5-51	2.518735435148307	1.4582186153948547e-07	5.091660707279561e-05
IGHV1-2	2.736258764498502	1.5081779328033017e-07	5.091660707279561e-05
IGLV1-51	2.7083904306116526	1.5081779328033017e-07	5.091660707279561e-05
GAREM2	-1.164103676003325	1.5081779328033017e-07	5.091660707279561e-05
CD79A	0.7057806052027922	1.5081779328033017e-07	5.091660707279561e-05
IGLV3-1	2.701515270418336	1.6131096676658019e-07	5.196751564860019e-05
CD3D	1.6149021957845844	1.6681890418121428e-07	5.196751564860019e-05
GZMH	1.1003950556265019	1.6681890418121428e-07	5.196751564860019e-05
TMEM154	0.9168309792171049	1.6681890418121428e-07	5.196751564860019e-05
ENHO	-1.978823430006027	1.725084784821517e-07	5.196751564860019e-05
CMKLR1	1.3628165439272393	1.725084784821517e-07	5.196751564860019e-05
FPR3	1.7328701839726857	1.725084784821517e-07	5.196751564860019e-05
IGKV4-1	2.676463019107459	1.7838545363471646e-07	5.213381444211019e-05
TRAV12-2	0.6041389322559357	1.7838545363471646e-07	5.213381444211019e-05
TNFRSF1B	1.221245159747975	1.8445576881014728e-07	5.234533926190571e-05
IGKV1-16	1.8716945133141127	1.8445576881014728e-07	5.234533926190571e-05
