	rho	p
PROGENy_Trail	0.7201403023416658	4.868351964034627e-57
PROGENy_JAK_STAT	0.6222163253207615	8.732467587829687e-39
PROGENy_NFkB	0.5911022343924232	2.932833715896634e-34
PROGENy_TNFa	0.5704176605925445	1.640257881654671e-31
PROGENy_p53	0.4151662032266715	5.658238566294048e-16
PROGENy_Estrogen	0.3742292545908789	4.811806462181792e-13
PROGENy_TGFb	0.3627385774979886	2.714538005811629e-12
PROGENy_EGFR	0.31593207898711306	1.577654756212177e-09
PROGENy_VEGF	0.3126754837890101	2.3628655366935772e-09
PROGENy_Androgen	0.3094344150069869	3.515035543267501e-09
PROGENy_WNT	0.23399297076799297	1.0001585054313186e-05
PROGENy_MAPK	0.16129998447358393	0.002508316145462746
PROGENy_Hypoxia	0.1266565980210877	0.01792360957468478
PROGENy_PI3K	-0.5489844312391491	7.319117143509551e-29
