feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
EPIC_B cell	EPIC	Immune-desert	Lymphocyte-inflamed	3.5946193440882768	0.0003248662049701867	0.0009745986149105601	0.0011218088641047554	0.003863153656774092
EPIC_B cell	EPIC	Immune-desert	Myeloid-dominant	2.0607093496445485	0.03933077712378985	0.04596737986763366	0.0011218088641047554	0.0007993269375538761
EPIC_B cell	EPIC	Lymphocyte-inflamed	Myeloid-dominant	-1.995692721092575	0.04596737986763366	0.04596737986763366	0.003863153656774092	0.0007993269375538761
EPIC_Cancer associated fibroblast	EPIC	Immune-desert	Lymphocyte-inflamed	-5.380701787157138	7.419601821823107e-08	2.2258805465469322e-07	0.0040381243498728075	0.019257583421566218
EPIC_Cancer associated fibroblast	EPIC	Immune-desert	Myeloid-dominant	-1.2488318026351288	0.21172659932185445	0.21172659932185445	0.0040381243498728075	0.007246387509029071
EPIC_Cancer associated fibroblast	EPIC	Lymphocyte-inflamed	Myeloid-dominant	5.039613297673501	4.66473416338431e-07	6.997101245076465e-07	0.019257583421566218	0.007246387509029071
EPIC_Endothelial cell	EPIC	Immune-desert	Lymphocyte-inflamed	-4.656905812349383	3.2099720781442187e-06	9.629916234432656e-06	0.039272755242753976	0.06717754163496512
EPIC_Endothelial cell	EPIC	Immune-desert	Myeloid-dominant	-2.5848957270598683	0.009740845135304044	0.009740845135304044	0.039272755242753976	0.052526209417847095
EPIC_Endothelial cell	EPIC	Lymphocyte-inflamed	Myeloid-dominant	2.6802602912048132	0.007356493202939518	0.009740845135304044	0.06717754163496512	0.052526209417847095
EPIC_Macrophage	EPIC	Immune-desert	Lymphocyte-inflamed	-13.15710363043819	0.0	0.0	0.005647651209670654	0.033068666481482205
EPIC_Macrophage	EPIC	Immune-desert	Myeloid-dominant	-6.198921152548209	5.685150128442729e-10	5.685150128442729e-10	0.005647651209670654	0.012536761352194753
EPIC_Macrophage	EPIC	Lymphocyte-inflamed	Myeloid-dominant	8.806887718327806	0.0	0.0	0.033068666481482205	0.012536761352194753
EPIC_NK cell	EPIC	Immune-desert	Lymphocyte-inflamed	-5.1313782716523555	2.8762821213668133e-07	8.62884636410044e-07	2.2947444986682626e-05	8.627163711051062e-05
EPIC_NK cell	EPIC	Immune-desert	Myeloid-dominant	-3.1961416943783427	0.001392786950934033	0.0020891804264010494	2.2947444986682626e-05	2.1937840038991933e-05
EPIC_NK cell	EPIC	Lymphocyte-inflamed	Myeloid-dominant	2.564430065017784	0.010334540362233025	0.010334540362233025	8.627163711051062e-05	2.1937840038991933e-05
EPIC_T cell CD4+	EPIC	Immune-desert	Lymphocyte-inflamed	-0.7387423686609682	0.46006345307099594	0.46006345307099594	0.03995328690190391	0.04781681713912982
EPIC_T cell CD4+	EPIC	Immune-desert	Myeloid-dominant	1.4575493767377437	0.14496479191293066	0.21744718786939599	0.03995328690190391	0.03572670489900467
EPIC_T cell CD4+	EPIC	Lymphocyte-inflamed	Myeloid-dominant	2.513043334670202	0.011969463109506417	0.03590838932851925	0.04781681713912982	0.03572670489900467
EPIC_T cell CD8+	EPIC	Immune-desert	Lymphocyte-inflamed	-1.7519126157528049	0.07978883491365263	0.11968325237047894	0.016012790608329903	0.019794425997002704
EPIC_T cell CD8+	EPIC	Immune-desert	Myeloid-dominant	1.3204095312607549	0.18669832306710799	0.18669832306710799	0.016012790608329903	0.014292783853606762
EPIC_T cell CD8+	EPIC	Lymphocyte-inflamed	Myeloid-dominant	3.5715584756343293	0.000354863293738239	0.001064589881214717	0.019794425997002704	0.014292783853606762
EPIC_uncharacterized cell	EPIC	Immune-desert	Lymphocyte-inflamed	7.7417903651357385	9.769962616701378e-15	2.930988785010413e-14	0.8939306353783772	0.8089355400319692
EPIC_uncharacterized cell	EPIC	Immune-desert	Myeloid-dominant	1.9430195988334655	0.05201379034127318	0.05201379034127318	0.8939306353783772	0.8768498881907247
EPIC_uncharacterized cell	EPIC	Lymphocyte-inflamed	Myeloid-dominant	-7.087596331500636	1.3646861418692424e-12	2.0470292128038636e-12	0.8089355400319692	0.8768498881907247
LM22_Macrophages M1	LM22	Immune-desert	Lymphocyte-inflamed	-5.031316158169288	4.871240784076747e-07	1.461372235223024e-06	0.003857893433333762	0.01076723252551185
LM22_Macrophages M1	LM22	Immune-desert	Myeloid-dominant	-1.5749548640439512	0.11526686334194736	0.11526686334194736	0.003857893433333762	0.005256745940528143
LM22_Macrophages M1	LM22	Lymphocyte-inflamed	Myeloid-dominant	4.257135750963169	2.0706263557102034e-05	3.105939533565305e-05	0.01076723252551185	0.005256745940528143
LM22_Mast cells activated	LM22	Immune-desert	Lymphocyte-inflamed	-3.214101107620235	0.0013085358754485465	0.00392560762634564	0.030192507874606644	0.054808461816349525
LM22_Mast cells activated	LM22	Immune-desert	Myeloid-dominant	-2.877291709584259	0.00401104613351988	0.00601656920027982	0.030192507874606644	0.051973080765695
LM22_Mast cells activated	LM22	Lymphocyte-inflamed	Myeloid-dominant	0.627674725859673	0.5302170454354298	0.5302170454354298	0.054808461816349525	0.051973080765695
LM22_Mast cells resting	LM22	Immune-desert	Lymphocyte-inflamed	5.971791601874027	2.3466217857759375e-09	7.0398653573278125e-09	0.10099622854647318	0.023163649062811917
LM22_Mast cells resting	LM22	Immune-desert	Myeloid-dominant	4.108993464492084	3.9738732053207215e-05	5.960809807981082e-05	0.10099622854647318	0.047751815994027384
