feature	Immune-desert vs Lymphocyte-inflamed	Immune-desert vs Myeloid-dominant	Lymphocyte-inflamed vs Myeloid-dominant
EPIC_B cell	3.0111742101690973	1.3375502502513925	-1.3375502502513925
EPIC_Cancer associated fibroblast	-6.652498146096334	-0.6742245779133449	6.155081841986114
EPIC_Endothelial cell	-5.016377490557905	-2.0114033612244557	2.0114033612244557
EPIC_Macrophage	-300.0	-9.24525806235824	300.0
EPIC_NK cell	-6.064047263519513	-2.6800240517350233	1.985708834236006
EPIC_T cell CD4+	-0.3371822652355569	0.6626462044654231	1.4448040747242243
EPIC_T cell CD8+	-0.9219666174461922	0.7288595828863381	2.972817666054957
EPIC_uncharacterized cell	13.532985843321173	1.2838814972284374	-11.688875959550982
LM22_Macrophages M1	-5.835239148122578	-0.9382955247616639	4.507807003370675
LM22_Mast cells activated	-2.406093111314941	-2.2206510838447726	0.2755463146648722
LM22_Mast cells resting	8.152435646984129	4.224694735017034	-1.966591185367343
LM22_Monocytes	-3.6001946069285475	-0.7231555554075748	2.741785590434775
LM22_NK cells activated	2.670241218350542	2.030640644196514	-0.4915336164523835
LM22_T cells follicular helper	4.2271996461679775	4.8888231837073395	0.08383995953535585
MCP_B cell	-300.0	-6.917432855152539	12.681588498127265
MCP_Cancer associated fibroblast	-300.0	-6.538691177316827	8.963335998029516
MCP_Endothelial cell	-14.398287269423717	-4.698958178228045	5.594886375787924
MCP_Macrophage/Monocyte	-300.0	-5.32836049628722	300.0
MCP_Monocyte	-300.0	-5.32836049628722	300.0
MCP_Myeloid dendritic cell	-300.0	-3.7157205645441658	9.35552542701088
MCP_NK cell	-300.0	-2.3623198171045074	13.706616503829197
MCP_Neutrophil	-14.176438519807359	-1.8447109802724144	10.633053474997517
MCP_T cell	-300.0	-2.794870433794777	14.15524922073742
MCP_T cell CD8+	-8.188910026719997	-3.054305562501612	3.0406775455492996
MCP_cytotoxicity score	-8.947883413516317	-3.3744826820894147	3.3744826820894147
quanTIseq_B cell	-1.1455709169207144	1.5377822399555172	5.258818419733762
quanTIseq_Macrophage M1	-300.0	-4.857741336952804	15.176438519807359
quanTIseq_Macrophage M2	-300.0	-11.687371093570885	300.0
