feature	family	H	df	p	n	epsilon_sq	q_BH
ssGSEA_Chemokine_T_Cell_Recruitment	ssGSEA	259.6672926946437	2	4.1111547632470076e-57	349	0.7447031580770049	9.866771431792819e-56
ssGSEA_M1_Macrophage	ssGSEA	255.53942755533012	2	3.238309485817012e-56	349	0.7327729120096246	3.8859713829804144e-55
ssGSEA_Glioma_Inflammatory_Wang2017	ssGSEA	244.06218365638847	2	1.0059356470439006e-53	349	0.6996016868681748	8.047485176351206e-53
ssGSEA_T_Cell_Cytotoxicity	ssGSEA	229.7439500984185	2	1.2934067133618394e-50	349	0.6582195089549668	7.760440280171036e-50
ssGSEA_MoTAM_Antunes2021	ssGSEA	226.68963088862665	2	5.956238784204687e-50	349	0.6493919967879384	2.8589946164182496e-49
ssGSEA_MDM_Klemm2020	ssGSEA	220.97796444463916	2	1.0357255974159432e-48	349	0.6328842903024253	4.142902389663773e-48
ssGSEA_TGFb_Immunosuppression	ssGSEA	219.19939024392306	2	2.5203287308172934e-48	349	0.627743902439084	8.641127077087862e-48
ssGSEA_DAM_KerenShaul2017	ssGSEA	214.0286668431081	2	3.3439941611925943e-47	349	0.6127996151534917	1.0031982483577783e-46
ssGSEA_T_Cell_Exhaustion	ssGSEA	205.4137508256863	2	2.4829658971302085e-45	349	0.5879010139470702	6.621242392347223e-45
ssGSEA_M2_Macrophage	ssGSEA	201.79910321228385	2	1.5131483581182616e-44	349	0.5774540555268319	3.6315560594838276e-44
ssGSEA_Tregs_Friebel2020	ssGSEA	199.80984068146677	2	4.091140373034934e-44	349	0.5717047418539501	8.926124450258037e-44
ssGSEA_NK_Cell_Activity	ssGSEA	196.75584786223635	2	1.883694612286168e-43	349	0.5628781730122437	3.767389224572336e-43
ssGSEA_Neutrophil_Activation	ssGSEA	196.10350346103223	2	2.610148896638376e-43	349	0.5609927845694573	4.818736424563156e-43
ssGSEA_Dendritic_Cell_Activation	ssGSEA	193.05340256092563	2	1.1994614030973816e-42	349	0.552177464048918	2.05621954816694e-42
quanTIseq_Macrophage M2	quanTIseq	194.81340071750114	2	4.9751655179329596e-43	349	0.5572641639234137	5.472682069726256e-42
ssGSEA_IFN_Gamma_Response	ssGSEA	190.52814730321165	2	4.239732824395116e-42	349	0.5448790384485886	6.783572519032185e-42
ssGSEA_MHC_Class_II	ssGSEA	183.01634063806546	2	1.8134541570916829e-40	349	0.5231686145608828	2.7201812356375245e-40
EPIC_Macrophage	EPIC	180.17854714390387	2	7.494205693926216e-40	349	0.5149668992598377	5.995364555140973e-39
MCP_Monocyte	MCP	167.99360203619653	2	3.3162924357082703e-37	349	0.47975029490230214	1.8239608396395487e-36
MCP_Macrophage/Monocyte	MCP	167.99360203619653	2	3.3162924357082703e-37	349	0.47975029490230214	1.8239608396395487e-36
xCell_Macrophage M1	xCell	159.27042572460596	2	2.599360342097015e-35	349	0.45453880267227154	1.0137505334178358e-33
xCell_immune score	xCell	155.96730421042594	2	1.3555957919988724e-34	349	0.444992208700653	1.7622745295985342e-33
xCell_Macrophage	xCell	156.72808627113125	2	9.266772188630852e-35	349	0.44719100078361634	1.7622745295985342e-33
xCell_microenvironment score	xCell	147.56742292544436	2	9.039434400056798e-33	349	0.4207150951602438	8.813448540055378e-32
xCell_Myeloid dendritic cell activated	xCell	140.901873870304	2	2.532484781044518e-31	349	0.4014505025153295	1.975338129214724e-30
MCP_B cell	MCP	128.69173021607844	2	1.134869306442052e-28	349	0.366161069988666	4.161187456954191e-28
quanTIseq_Macrophage M1	quanTIseq	128.51561473316247	2	1.2393353616538357e-28	349	0.3656520657027817	6.816344489096096e-28
xCell_Monocyte	xCell	118.46097683799923	2	1.890278171341609e-26	349	0.3365924186069342	1.2286808113720457e-25
ssGSEA_MgTAM_Antunes2021	ssGSEA	112.68514992047358	2	3.3941466165078075e-25	349	0.3198992772268022	4.791736399775729e-25
ssGSEA_Microglia_Core_Homeostatic	ssGSEA	111.07766061929237	2	7.582151627192328e-25	349	0.3152533543910184	1.0109535502923104e-24
ssGSEA_Microglia_Klemm2020	ssGSEA	108.03395082517568	2	3.473166866055473e-24	349	0.30645650527507423	4.3871581465963874e-24
ssGSEA_MHC_Class_I	ssGSEA	103.65089330370711	2	3.1080965188974e-23	349	0.2937887089702518	3.7297158226768796e-23
MCP_T cell	MCP	103.32599301793994	2	3.6563326244873555e-23	349	0.2928496908032946	1.0054914717340228e-22
MCP_Cancer associated fibroblast	MCP	100.9862923738151	2	1.177891362466055e-22	349	0.2860875502133384	2.591360997425321e-22
MCP_NK cell	MCP	96.56775626379566	2	1.0729467347356795e-21	349	0.27331721463524755	1.9670690136820793e-21
ssGSEA_IFN_Alpha_Response	ssGSEA	93.62208159040688	2	4.679756869748024e-21	349	0.264803704018517	5.348293565426314e-21
xCell_Macrophage M2	xCell	85.32925346708038	2	2.9579309878788265e-19	349	0.24083599267942304	1.6479901218182033e-18
quanTIseq_uncharacterized cell	quanTIseq	83.95963376714667	2	5.866744517483432e-19	349	0.2368775542403083	2.1511396564105914e-18
MCP_Myeloid dendritic cell	MCP	81.81931967732199	2	1.7106472971483618e-18	349	0.23069167536798263	2.688160038375997e-18
MCP_Neutrophil	MCP	73.4293110393055	2	1.1350832182072603e-16	349	0.20644309548932227	1.5607394250349827e-16
EPIC_uncharacterized cell	EPIC	74.03931919149545	2	8.366929615733167e-17	349	0.20820612483091172	3.346771846293267e-16
MCP_Endothelial cell	MCP	64.75502469314915	2	8.682105325963386e-15	349	0.1813729037374253	1.061146206506636e-14
ssGSEA_MAPK_Activity	ssGSEA	59.56509766331419	2	1.1630633895642612e-13	349	0.16637311463385604	1.2687964249791942e-13
quanTIseq_Myeloid dendritic cell	quanTIseq	57.29387121082356	2	3.620711681124761e-13	349	0.15980887633186	9.956957123093093e-13
xCell_Plasmacytoid dendritic cell	xCell	46.71352370930409	2	7.182691462224912e-11	349	0.12922983731012744	3.5015620878346447e-10
MCP_cytotoxicity score	MCP	39.51234203669014	2	2.6302918736373467e-09	349	0.1084171735164455	2.8933210610010815e-09
MCP_T cell CD8+	MCP	35.999408235466085	2	1.5234486692375295e-08	349	0.09826418565163608	1.5234486692375295e-08
EPIC_Cancer associated fibroblast	EPIC	36.46382927333639	2	1.2077584335445441e-08	349	0.09960644298652135	3.220689156118784e-08
xCell_stroma score	xCell	35.55825384942208	2	1.8994299583605688e-08	349	0.09698917297520833	8.230863152895798e-08
quanTIseq_Neutrophil	quanTIseq	33.11631760934791	2	6.439957490744535e-08	349	0.08993155378424252	1.4167906479637977e-07
LM22_Mast cells resting	LM22	35.8724382860306	2	1.623300789901873e-08	349	0.09789722047985723	3.5712617377841207e-07
xCell_Endothelial cell	xCell	29.96416465464062	2	3.114327766452841e-07	349	0.08082128512901914	1.214587828916608e-06
xCell_B cell plasma	xCell	29.674538627551236	2	3.5996129909979997e-07	349	0.07998421568656426	1.276226424081109e-06
EPIC_NK cell	EPIC	26.332353624382222	2	1.9142650168946885e-06	349	0.07032472145775209	3.828530033789377e-06
LM22_Macrophages M1	LM22	29.47311262180104	2	3.981025064612631e-07	349	0.07940205960058104	4.379127571073894e-06
quanTIseq_B cell	quanTIseq	23.162494985478364	2	9.339596641983725e-06	349	0.06116328030485076	1.7122593843636828e-05
EPIC_Endothelial cell	EPIC	21.879225259832765	2	1.7741347424861573e-05	349	0.057454408265412614	2.8386155879778516e-05
LM22_T cells follicular helper	LM22	23.59277032797741	2	7.531734751587387e-06	349	0.062406850658894245	5.5232721511640834e-05
xCell_Mast cell	xCell	20.575422752024608	2	3.404894955179067e-05	349	0.05368619292492661	0.00011065908604331968
xCell_T cell CD4+ effector memory	xCell	18.579333803910526	2	9.237382469639397e-05	349	0.04791714972228476	0.0002771214740891819
xCell_Common lymphoid progenitor	xCell	16.727789115747555	2	0.00023313460720749825	349	0.04256586449638022	0.0006494464057923167
LM22_Monocytes	LM22	17.69118785355647	2	0.00014401488052064628	349	0.045350253912012924	0.0007920818428635546
xCell_Myeloid dendritic cell	xCell	15.97868557004931	2	0.0003390568433897645	349	0.04040082534696332	0.0008815477928133877
quanTIseq_T cell regulatory (Tregs)	quanTIseq	14.178810766455184	2	0.0008338930650193537	349	0.03519887504755834	0.0013104033878875558
quanTIseq_T cell CD4+ (non-regulatory)	quanTIseq	13.689510446306457	2	0.0010650268986905935	349	0.033784712272562016	0.001464411985699566
xCell_T cell CD4+ Th1	xCell	14.662514392652264	2	0.0006547499202844023	349	0.03659686240650943	0.0015959529306932307
xCell_B cell	xCell	14.529640077335408	2	0.0006997271821550166	349	0.03621283259345494	0.0016052564767085674
EPIC_B cell	EPIC	12.986051267442463	2	0.0015139613787245236	349	0.03175159325850423	0.001940975340275716
EPIC_T cell CD8+	EPIC	12.756192144299575	2	0.0016983534227412514	349	0.031087260532657732	0.001940975340275716
xCell_T cell CD4+ central memory	xCell	13.783112251556643	2	0.001016331070841467	349	0.034055237721261976	0.002202050653489845
xCell_Neutrophil	xCell	12.31961647726256	2	0.002112658359150002	349	0.02982548114815769	0.0043365092635184255
xCell_Class-switched memory B cell	xCell	12.10763790051936	2	0.0023488746208805127	349	0.029212826302079078	0.004580305510717
xCell_T cell regulatory (Tregs)	xCell	11.448812496208069	2	0.003265291473518255	349	0.027308706636439504	0.006064112736533902
xCell_T cell NK	xCell	11.149932872593688	2	0.0037916028402451857	349	0.026444892695357478	0.006721477762252829
LM22_NK cells activated	LM22	12.070831520447431	2	0.0023925016135347217	349	0.02910644948106194	0.010527007099552775
xCell_Cancer associated fibroblast	xCell	10.132321511666047	2	0.006306586245786371	349	0.02350381939787875	0.010693776677637759
LM22_Mast cells activated	LM22	11.546068373807946	2	0.0031103059329550733	349	0.027589792987884238	0.011404455087501935
quanTIseq_Monocyte	quanTIseq	9.183765259001996	2	0.010133762283747617	349	0.02076232733815606	0.012167922438594447
quanTIseq_T cell CD8+	quanTIseq	9.008524556122575	2	0.011061747671449497	349	0.02025585131827334	0.012167922438594447
xCell_Hematopoietic stem cell	xCell	9.541256331255	2	0.00847505474942369	349	0.021795538529638725	0.013771963967813496
xCell_NK cell	xCell	8.993549271519326	2	0.011144884943900731	349	0.020212570148899787	0.01738602051248514
quanTIseq_NK cell	quanTIseq	7.26679208702717	2	0.02642628702693746	349	0.015221942448055404	0.02642628702693746
xCell_T cell CD8+ naive	xCell	8.02452483014188	2	0.01809241634324249	349	0.017411921474398497	0.02713862451486373
EPIC_T cell CD4+	EPIC	6.648234618320657	2	0.03600428538420766	349	0.01343420409919265	0.03600428538420766
ssGSEA_Stemness_Brain_Tumor	ssGSEA	5.776135576380511	2	0.05568370143797988	349	0.010913686636937894	0.05810473193528335
LM22_Macrophages M2	LM22	7.674866830921824	2	0.021548837343599837	349	0.01640134922231741	0.06772491736559949
LM22_T cells CD4 naive	LM22	6.996888955627471	2	0.03024439267468774	349	0.014441875594299049	0.0831720798553913
LM22_T cells regulatory (Tregs)	LM22	6.643408088450302	2	0.03609127818976572	349	0.013420254590896828	0.08822312446387176
LM22_T cells gamma delta	LM22	6.158109718886306	2	0.04600271514042205	349	0.012017658147070247	0.09899076870844718
LM22_B cells naive	LM22	5.996890828071832	2	0.04986452683786691	349	0.011551707595583329	0.09899076870844718
LM22_B cells memory	LM22	5.837728964269405	2	0.0539949647500621	349	0.011091702208871113	0.09899076870844718
xCell_T cell CD8+ central memory	xCell	5.110761507056828	2	0.07766265610674539	349	0.008990640193805861	0.11217939215418778
xCell_Granulocyte-monocyte progenitor	xCell	4.937290576867321	2	0.084699524740356	349	0.008489279123893991	0.11797433803121014
LM22_NK cells resting	LM22	4.611781907995263	2	0.09966995973384055	349	0.007548502624263765	0.1461826076096328
LM22_Eosinophils	LM22	4.6847584786830385	2	0.09609872415261538	349	0.007759417568448088	0.1461826076096328
LM22_Neutrophils	LM22	4.810502496184066	2	0.0902428194250293	349	0.008122839584347012	0.1461826076096328
LM22_T cells CD4 memory resting	LM22	4.235142353655828	2	0.12032351844319088	349	0.006459948999005283	0.16544483785938746
xCell_T cell CD8+	xCell	3.6910917592612007	2	0.1579390816261252	349	0.0048875484371711	0.21240083391099596
xCell_T cell CD4+ naive	xCell	3.61234564733924	2	0.16428167011579436	349	0.0046599585183215025	0.21356617115053267
LM22_T cells CD4 memory activated	LM22	3.395895071688684	2	0.18305886048821005	349	0.004034378819909492	0.23689970180827183
LM22_Plasma cells	LM22	3.188253928984757	2	0.20308575220276096	349	0.0034342599103605698	0.24821591935893006
xCell_T cell CD4+ memory	xCell	3.207221293677112	2	0.20116885542704785	349	0.0034890788834598613	0.2530833987630602
xCell_T cell CD8+ effector memory	xCell	2.3506277815024252	2	0.3087220594784713	349	0.0010133750910474718	0.37625500998938693
xCell_T cell gamma delta	xCell	1.7318017881408756	2	0.42067240059376365	349	-0.0007751393406333075	0.49715829161081165
xCell_Common myeloid progenitor	xCell	1.6513644882250134	2	0.43793611118803444	349	-0.0010076170860548747	0.5023384804803924
xCell_T cell CD4+ Th2	xCell	1.1379076479850438	2	0.5661173874324144	349	-0.0024915963931068097	0.6308165174246904
xCell_B cell naive	xCell	0.5161149245082842	2	0.7725508383188475	349	-0.004288685189282416	0.8369300748454181
LM22_Dendritic cells activated	LM22	0.4064397914594754	2	0.816098765059809	349	-0.004605665342602672	0.8623194386280999
LM22_Macrophages M0	LM22	0.3298119536122018	2	0.8479734295100219	349	-0.004827133082045659	0.8623194386280999
LM22_T cells CD8	LM22	0.4030430513940439	2	0.81748598041517	349	-0.004615482510421838	0.8623194386280999
LM22_Dendritic cells resting	LM22	0.29625899702161695	2	0.8623194386280998	349	-0.004924106945024227	0.8623194386280999
xCell_B cell memory	xCell	0.38655599877977087	2	0.8242528005098665	349	-0.0046631329515035526	0.8688070059428322
