theme	group_A	group_B	z	p	q_BH
T-cell axis	Immune-desert	Lymphocyte-inflamed	-15.74152805933698	0.0	0.0
T-cell axis	Immune-desert	Myeloid-dominant	-7.835271074277967	4.6629367034256575e-15	4.6629367034256575e-15
T-cell axis	Lymphocyte-inflamed	Myeloid-dominant	10.068717932186418	0.0	0.0
Antigen presentation	Immune-desert	Lymphocyte-inflamed	-13.661375898325641	0.0	0.0
Antigen presentation	Immune-desert	Myeloid-dominant	-7.301871494126165	2.8377300509419e-13	2.8377300509419e-13
Antigen presentation	Lymphocyte-inflamed	Myeloid-dominant	8.177004954275628	2.220446049250313e-16	3.3306690738754696e-16
IFN / chemokine	Immune-desert	Lymphocyte-inflamed	-11.95655720783973	0.0	0.0
IFN / chemokine	Immune-desert	Myeloid-dominant	-5.588687372296912	2.2879242056461635e-08	2.2879242056461635e-08
IFN / chemokine	Lymphocyte-inflamed	Myeloid-dominant	8.053146398580274	8.881784197001252e-16	1.3322676295501878e-15
Myeloid / microglia	Immune-desert	Lymphocyte-inflamed	-16.59035770838492	0.0	0.0
Myeloid / microglia	Immune-desert	Myeloid-dominant	-8.275031848589947	2.220446049250313e-16	2.220446049250313e-16
Myeloid / microglia	Lymphocyte-inflamed	Myeloid-dominant	10.59235747917743	0.0	0.0
Signaling / suppression	Immune-desert	Lymphocyte-inflamed	-8.158685503172126	4.440892098500626e-16	1.3322676295501878e-15
Signaling / suppression	Immune-desert	Myeloid-dominant	-4.939311858072775	7.839874438531069e-07	1.1759811657796604e-06
Signaling / suppression	Lymphocyte-inflamed	Myeloid-dominant	4.236563487068439	2.2696676694078377e-05	2.2696676694078377e-05
