	T-cell axis	Antigen presentation	IFN / chemokine	Myeloid / microglia	Signaling / suppression	ecotype
BS_00FD2KMP	0.3075138968118157	0.7423938364055656	0.5653303455286305	0.5742656010211238	0.6464412340107505	Immune-desert
BS_028YFYJ6	0.30050410206066847	0.8408510094456916	0.6179471326041286	0.6423702057580638	0.6661887413324578	Myeloid-dominant
BS_052PZFMK	0.21479638023245132	0.7705999453161735	0.5434407845662185	0.5050699592077189	0.6819501562705744	Immune-desert
BS_056Q8577	0.39849433830085323	0.7849095162665836	0.7273869675607425	0.6317101556296005	0.7327634998092207	Lymphocyte-inflamed
BS_08ST21QE	0.3807307741135511	0.8690333510443415	0.7084318664597665	0.6810442246803391	0.640223693000022	Lymphocyte-inflamed
BS_0C7VZC0A	0.2356619218326587	0.8423806951264095	0.582493444184336	0.5979871332680153	0.6302886526704663	Myeloid-dominant
BS_0S8E7590	0.46853820700103915	0.866471877017012	0.7505867684951151	0.6874204845542355	0.771962643741582	Lymphocyte-inflamed
BS_0VXZCRJS	0.2785193025011787	0.85515946717617	0.5791379357134729	0.6032510329852109	0.7155677312613715	Myeloid-dominant
BS_0XEBS3PG	0.2637363715442422	0.671547765224893	0.5552060448863869	0.561988316195955	0.5704679567673725	Immune-desert
BS_0ZA67BBC	0.23269379642469515	0.7424652766634301	0.5788130067447834	0.6065590900490355	0.6257084090323175	Myeloid-dominant
BS_12G04QJM	0.3089029062067855	0.773057906602471	0.7206871932260526	0.5795496767814498	0.7507619434098205	Myeloid-dominant
BS_17ZSMXFH	0.30485071541154013	0.7249021053539966	0.6137579559565075	0.5546308421588054	0.7188710243264574	Immune-desert
BS_1A6MQ9ZA	0.2789044025428123	0.825526650234818	0.7415669454688095	0.6313416127852458	0.7465313331906318	Myeloid-dominant
BS_1D93Z575	0.331671908326198	0.8509712199834275	0.589351112781699	0.6349652812022785	0.7229229545271232	Myeloid-dominant
BS_1EN5V3XW	0.22619036843612236	0.8140150332615225	0.559414413073478	0.5096632926622979	0.6695885584482325	Immune-desert
BS_223BM91B	0.4238613004361292	0.879103383390311	0.7443501929844014	0.6994159034579874	0.7208064360966969	Lymphocyte-inflamed
BS_25HNKZ79	0.4125657268364837	0.877736120761277	0.6862766667153231	0.7069937647778767	0.7468649571097508	Lymphocyte-inflamed
BS_2853394H	0.24782518504751336	0.7287718328085224	0.526334059070926	0.5287001683230791	0.6593272172048718	Immune-desert
BS_297H8BT4	0.40066540595606553	0.835462568454714	0.641636448021628	0.669091566035896	0.7394536579792349	Myeloid-dominant
BS_29X4ZX6Q	0.24290566028783	0.770320200647889	0.5498801796632735	0.5516021899425047	0.7185528163695813	Immune-desert
BS_2A5R9MEJ	0.18358090704977345	0.8078567743631115	0.651166929019587	0.5344640680065568	0.655924796625212	Immune-desert
BS_2ARXK0TD	0.4159039558536682	0.8391156106900065	0.6722335560117769	0.6953126955962816	0.7573060372524234	Lymphocyte-inflamed
BS_2AV1H5TV	0.3483960038533978	0.8006877309389431	0.5961472039029274	0.6193565390717086	0.724922162464446	Myeloid-dominant
BS_2DMBCHNF	0.46721985898930235	0.883199695557882	0.7069246498259916	0.7131392990792265	0.7624038137928503	Lymphocyte-inflamed
BS_2EN3X6HB	0.3509423481715557	0.871326768738746	0.647211347160067	0.6671094973614864	0.7464829985158088	Myeloid-dominant
BS_2FEZWH1F	0.4515154130738348	0.912151835516932	0.723300591256701	0.7208413516735552	0.7270722870227198	Lymphocyte-inflamed
BS_2HNXVFAS	0.2496343462255485	0.8358138416820045	0.660862136879062	0.5972837515090521	0.7241800857837872	Myeloid-dominant
BS_2JH1QMT1	0.2894668693111124	0.8501929025246564	0.669242696602511	0.6008154519467129	0.6955783843155173	Myeloid-dominant
BS_2JP7RBMB	0.2955593228462307	0.782972622103104	0.576551168376913	0.6302782136873454	0.6873710076112195	Myeloid-dominant
BS_2K01T8K6	0.4309097670895495	0.8152597932724375	0.6874860250176376	0.6894426822522306	0.7989328857171547	Lymphocyte-inflamed
BS_2PDS3MSS	0.3751585561563997	0.8834462503704965	0.721190796409773	0.6701136277172937	0.701273425868711	Lymphocyte-inflamed
BS_2T5PJAW8	0.36836375631201984	0.829578793299242	0.6646277503948834	0.6739179475000161	0.6287452212946629	Myeloid-dominant
BS_2WANPFBJ	0.40286906885972934	0.8679415708273954	0.626609496837525	0.6739568232051577	0.732450722808293	Lymphocyte-inflamed
BS_30F3Z9FS	0.3995426941353825	0.837894241351623	0.7464723425726976	0.6512081056748247	0.7435782335658025	Lymphocyte-inflamed
BS_30VC3R2Q	0.2531201280026902	0.7918446134164355	0.558762976864221	0.636162187628716	0.6987909546626717	Myeloid-dominant
BS_30YWQ3FY	0.40250654170628103	0.770440260038096	0.573372006725851	0.7001613641365985	0.7516165413816259	Lymphocyte-inflamed
BS_31MBRWC4	0.41958881827332334	0.816469634824482	0.6168261216938109	0.6802828899640249	0.7560663158899841	Lymphocyte-inflamed
BS_333KCNDP	0.48894082657422405	0.8769104438001325	0.6953539143658249	0.7593562435495169	0.7549539987097295	Lymphocyte-inflamed
BS_399RPKC9	0.2484866669872158	0.7939417412618119	0.7121405219188405	0.6258310431760303	0.6704175850199292	Myeloid-dominant
BS_3AC3SRWH	0.26171083737059514	0.7161309677599079	0.5802041954082945	0.5298105501318523	0.5503710056042761	Immune-desert
BS_3MS8WVNR	0.18141746322199795	0.7549872385768914	0.637804942441528	0.5371178096350958	0.6912914153996028	Immune-desert
BS_3ZPJAK9A	0.29810134419487067	0.7619992043108275	0.5764279013836899	0.6206223583601838	0.657547241431476	Myeloid-dominant
BS_45J79YTF	0.15568167133730207	0.7050681234737826	0.5156613420516615	0.5095093420833069	0.7203057295609983	Immune-desert
BS_49BQS7Z6	0.2599776846740938	0.8482019620674185	0.6078502294952159	0.5886750468482239	0.6557385900246112	Myeloid-dominant
BS_49CJNZ06	0.25112943919269687	0.7413448525906015	0.552595065583682	0.5740078045519595	0.6875704337150352	Myeloid-dominant
BS_4B0BAVTX	0.30327384754571046	0.859194336356317	0.657326164349427	0.6738491332685005	0.757141108040999	Myeloid-dominant
