gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
FCER1G	-2.6107500362906744	-10.98013011625711	0.0	0.0	3.597552278532913	6.208302314823587	78	271
WAS	-1.3452537074909094	-9.41617955280948	0.0	0.0	1.7039144056477942	3.0491681131387036	78	271
CCDC144CP	1.769100955582833	8.79212761788331	0.0	0.0	2.831580366834118	1.062479411251285	78	271
FBP1	-1.238496859951419	-9.877213839428407	0.0	0.0	0.8860664197253169	2.1245632796767357	78	271
CTBS	-1.0047196730427654	-8.31581042673558	0.0	0.0	1.842583097888397	2.8473027709311625	78	271
GLIPR1	-1.768261341407934	-9.667073902157348	0.0	0.0	1.7823385408798662	3.5505998822878	78	271
CYBB	-1.6601436300899897	-8.918848367934643	0.0	0.0	2.371812430667304	4.0319560607572935	78	271
DAB2	-1.3602948386752707	-8.476280924288023	0.0	0.0	2.685224610366801	4.045519449042072	78	271
ARHGAP9	-1.3306425043521708	-9.067856687090485	0.0	0.0	1.767246697654934	3.0978892020071047	78	271
LILRB3	-0.8889571380778043	-8.729722424390692	0.0	0.0	0.5540684269660527	1.443025565043857	78	271
PLEK2	-0.6485077124206831	-8.68769443693648	0.0	0.0	0.33769042532608423	0.9861981377467672	78	271
OLR1	-2.0130019889979756	-8.373758106407294	0.0	0.0	2.251076267380896	4.2640782563788715	78	271
ALDH3B1	-1.0632426944653173	-8.852622448309825	0.0	0.0	1.0097707209570548	2.073013415422372	78	271
GPR84	-0.7605196243056351	-8.925853032510346	0.0	0.0	0.3461331037993686	1.1066527281050038	78	271
MNDA	-1.6674055856824879	-9.388160894506672	0.0	0.0	1.2850295193366552	2.952435105019143	78	271
CD33	-1.2948606116535557	-10.026858946272947	0.0	0.0	0.9663744144493145	2.26123502610287	78	271
STAB1	-1.6555932290662332	-8.3915881616909	0.0	0.0	3.1883641012675508	4.843957330333784	78	271
CSTB	-1.7866567968710285	-8.371847743341194	0.0	0.0	5.642154369180237	7.428811166051266	78	271
SQOR	-1.614782669461402	-10.817749255638564	0.0	0.0	1.7750348422301114	3.3898175116915135	78	271
GMFG	-2.1864443148570056	-10.883975175263382	0.0	0.0	2.588838418680813	4.775282733537819	78	271
LPAR6	-1.5526144184303563	-8.674321895473778	0.0	0.0	2.5085280441583278	4.061142462588684	78	271
NMI	-1.57965449264977	-9.23278469846383	0.0	0.0	2.3563405192605527	3.9359950119103226	78	271
