gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
GBP5	0.952109852780447	11.195089991056571	0.0	0.0	1.282404306431591	0.33029445365114407	111	238
GZMH	0.6325601271474559	9.873028127352374	0.0	0.0	0.8836935543551007	0.2511334272076448	111	238
MGAT4A	1.2084952302461587	9.482276538166213	0.0	0.0	4.560450451540381	3.3519552212942227	111	238
CYBB	1.9416574277890386	11.948682341629883	0.0	0.0	4.98503131768214	3.0433738898931018	111	238
IGHM	1.8105026283929653	8.949692375062627	0.0	0.0	2.7623855200907577	0.9518828916977925	111	238
FFAR4	0.6289261578886107	10.291120935606955	0.0	0.0	0.9552479401883953	0.32632178229978454	111	238
SERPING1	2.046818274901989	10.137896187077688	0.0	0.0	7.091351556697815	5.044533281795826	111	238
MLKL	0.9723365151149608	9.809231949526062	0.0	0.0	2.297857737221083	1.325521222106122	111	238
TM6SF1	1.499818754580656	10.60611456362437	0.0	0.0	3.5867602492604425	2.0869414946797864	111	238
TIMD4	0.44283029816172703	9.468036319901412	0.0	0.0	0.6067148191117376	0.16388452095001063	111	238
CXCR6	0.5688134871617303	10.489344773852995	0.0	0.0	0.7311343893133486	0.16232090215161826	111	238
MEFV	0.610758542021963	8.837479455135988	0.0	0.0	0.9414142032351066	0.3306556612131436	111	238
CTLA4	0.42817060631895465	8.790201930496847	0.0	0.0	0.6278326397568945	0.1996620334379399	111	238
HLA-DMB	2.175573295308079	11.699193717630555	0.0	0.0	5.698905496769058	3.523332201460979	111	238
HCLS1	1.9765859148164053	11.913936209063767	0.0	0.0	5.578285333124567	3.601699418308162	111	238
PIK3R6	0.6529658488021872	8.899566806770524	0.0	0.0	1.3186854294345298	0.6657195806323426	111	238
FLVCR2	1.1309733296773434	9.761384816156328	0.0	0.0	2.7167502809839585	1.5857769513066151	111	238
HLA-DOA	1.8663286561678376	11.181988990252954	0.0	0.0	3.90278220206855	2.0364535459007125	111	238
C3AR1	2.018109055822916	12.092793350469677	0.0	0.0	4.206010026292921	2.1879009704700048	111	238
TMEM273	1.054204550912277	8.767987190003756	0.0	0.0	2.6324071875553403	1.5782026366430633	111	238
DOK1	1.0868894131412095	8.91722467741888	0.0	0.0	3.9953013480402455	2.908411934899036	111	238
APOL3	1.299933362488829	10.378271071387541	0.0	0.0	3.3864613407098973	2.0865279782210684	111	238
CARD11	1.1696576824765839	10.109985359278676	0.0	0.0	2.130876722856217	0.961219040379633	111	238
SMIM12	1.1512868441391988	8.343628685712662	0.0	0.0	4.801319792199037	3.6500329480598386	111	238
CCL8	1.1533729673376691	10.859590448737842	0.0	0.0	1.4779901256651389	0.32461715832746985	111	238
GPR160	1.2264497725561485	10.46826925082109	0.0	0.0	2.1079878019350193	0.8815380293788707	111	238
ENSG00000288797	0.6612655215954135	8.352742425402136	0.0	0.0	1.2489758025000277	0.5877102809046142	111	238
TBC1D22A	0.9382888609989259	8.435905300068578	0.0	0.0	3.7187849624273577	2.7804961014284317	111	238
CMAHP	0.9741650375200144	9.17867508476064	0.0	0.0	2.2215924001798806	1.2474273626598662	111	238
TREML1	1.0193688391613478	9.241332045125768	0.0	0.0	1.7886485014976072	0.7692796623362594	111	238
NABP1	1.2847896532411167	9.182662345874784	0.0	0.0	3.345412847353561	2.0606231941124444	111	238
IGSF6	1.5945927534089153	10.753643224847718	0.0	0.0	3.437001287554174	1.8424085341452585	111	238
EMB	1.2793771713586188	10.029100919534603	0.0	0.0	2.687771013990503	1.4083938426318843	111	238
TMEM70	1.2441213524289418	8.877921675008025	0.0	0.0	4.703895213983385	3.459773861554443	111	238
PLEK	1.7402240892358631	12.094502176661454	0.0	0.0	3.786007179421224	2.0457830901853606	111	238
