gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
RNF148	-0.2512426709364499	-6.127891052624424	8.905152171223563e-10	1.1523081592246243e-05	0.17151067283242086	0.42275334376887075	160	189
COL10A1	-0.2760540450376994	-6.1140487270494255	9.713463366978203e-10	1.1523081592246243e-05	0.130050046638373	0.4061040916760724	160	189
PCDHGA12	-0.8900106033249384	-5.837734612686951	5.291535432050409e-09	4.184898988694267e-05	1.3789716302041335	2.268982233529072	160	189
PRLR	-0.5003994400649044	-5.7733145590494575	7.772714027964867e-09	4.6103853256873606e-05	0.31061466037900465	0.8110141004439091	160	189
HSP90B2P	-0.2720599982789435	-5.721139639574462	1.0581188591984869e-08	5.02098561066866e-05	0.35723263090954166	0.6292926291884852	160	189
IGF1	-0.6667680814933107	-5.670029514374467	1.4277292237352412e-08	5.645717260390389e-05	0.9481405900988665	1.6149086715921772	160	189
C17orf107	-0.5369876073387312	-5.611998226386972	2.0000348932569523e-08	6.778975411059207e-05	0.5768481876261093	1.1138357949648405	160	189
RAB40AL	-0.36533389280821094	-5.490079281899484	4.01753366130464e-08	9.231154668540046e-05	0.3922568980909986	0.7575907908992096	160	189
ATXN7L1	-0.6475237131678173	-5.492741267586983	3.9574236110340166e-08	9.231154668540046e-05	2.2258651809881638	2.873388894155981	160	189
TMEM106A	-0.7099504477111112	-5.501792018924482	3.759502886779842e-08	9.231154668540046e-05	1.5516506107629524	2.2616010584740636	160	189
C8orf44-SGK3	-0.5225407218822635	-5.478898942011985	4.2798070198912797e-08	9.231154668540046e-05	0.6987673099765188	1.2213080318587823	160	189
CCDC87	-0.24888262123160504	-5.4426959366619885	5.2480184420389264e-08	0.00010289751394362193	0.35346449567354016	0.6023471169051452	160	189
POU2F2	-0.5869819657709705	-5.429918405361989	5.637982303241529e-08	0.00010289751394362193	1.5345489706440585	2.121530936415029	160	189
ENSG00000259232	-0.6963492043571669	-5.404363342761992	6.503898708487554e-08	0.0001102225005411255	0.5904993837442456	1.2868485881014124	160	189
SLC9A7P1	-0.40198826463728377	-5.372419514511995	7.768710874600515e-08	0.0001156949250089709	0.4253974316493845	0.8273856962866682	160	189
ZNF552	-0.42550054927870296	-5.360706777486996	8.2896979058944e-08	0.0001156949250089709	1.3928002048148915	1.8183007540935945	160	189
TESPA1	-0.35705431546068295	-5.368692734549495	7.930940615352711e-08	0.0001156949250089709	0.3379768263787433	0.6950311418394263	160	189
PLXNC1	-0.6857316372210263	-5.312791035112	1.079588118901853e-07	0.0001212881023560501	2.5296308722245437	3.21536250944557	160	189
FBXW4P1	-0.3317955650672906	-5.325568566412	1.0063774369406531e-07	0.0001212881023560501	0.450723897161152	0.7825194622284426	160	189
ENSG00000230615	0.6926948570953948	5.311726240837	1.0859164811805044e-07	0.0001212881023560501	2.1484849067241303	1.4557900496287355	160	189
B3GNT8	-0.3249023250762548	-5.312258637974501	1.0827478247321665e-07	0.0001212881023560501	0.3495746592099608	0.6744769842862156	160	189
DSE	-0.6981427308532342	-5.3053374751870015	1.1246473285986269e-07	0.0001212881023560501	2.6647436321491744	3.3628863630024086	160	189
GPR52	-0.6220581198134636	-5.287235972512003	1.241784071126517e-07	0.00012168090309163659	0.5836092259024281	1.2056673457158917	160	189
PAPOLB	-0.13127760641506747	-5.290430355337002	1.2202888299839287e-07	0.00012168090309163659	0.15074504013338968	0.28202264654845716	160	189
LINC01063	0.4284282555714024	5.281379603999503	1.2821472550328394e-07	0.00012168090309163659	1.0743092508422512	0.6458809952708487	160	189
GAPDH	0.8408514830948253	5.250500570024506	1.5168643519025693e-07	0.00012348015089710767	10.563994246564516	9.72314276346969	160	189
PCDHGA11	-0.7867731773809499	-5.245708995787007	1.5568246647390538e-07	0.00012348015089710767	1.2614275382801023	2.048200715661052	160	189
CEP295NL	-0.836308991093837	-5.245176598649507	1.561327036547766e-07	0.00012348015089710767	0.829954005770607	1.666262996864444	160	189
TRPM2	-0.7037551251161358	-5.261680909912005	1.4274434101402278e-07	0.00012348015089710767	1.694055865516745	2.397810990632881	160	189
PCDHGB3	-0.825602457295052	-5.261680909912005	1.4274434101402278e-07	0.00012348015089710767	1.2802186100494377	2.1058210673444897	160	189
CD226	-0.5960732658861515	-5.235061053037008	1.6493033694331416e-07	0.0001262229147233479	0.8305447221978325	1.426617988083984	160	189
PCDHGA4	-0.747607788124526	-5.229204684524508	1.7024080212202364e-07	0.0001262229147233479	1.7635990659336804	2.5112068540582064	160	189
PFKP-DT	0.36346432928973327	5.205246813337011	1.9373893178631363e-07	0.0001276847193211688	0.9077734680375285	0.5443091387477952	160	189
PCDHGB4	-0.6896283578040574	-5.205246813337011	1.9373893178631363e-07	0.0001276847193211688	1.137147860013958	1.8267762178180154	160	189
BAK1P1	-0.31756508388694027	-5.21323277039951	1.8557779335459657e-07	0.0001276847193211688	0.41075946155167553	0.7283245454386158	160	189
PCDHGA5	-0.7976404727881274	-5.20577921047451	1.931842323887878e-07	0.0001276847193211688	1.4444356175853634	2.242076090373491	160	189
GIHCG	1.110954538445418	5.197260856274512	2.0224646779531952e-07	0.00012968918094356083	4.2054888191744375	3.0945342807290195	160	189
HSP90AB4P	-0.3689022199544356	-5.183418530699512	2.178554134868449e-07	0.00013602204053654953	0.35685008538360175	0.7257523053380374	160	189
LINC01579	0.9049858238709736	5.173835382224514	2.2933689680648683e-07	0.00013951915932386427	2.6849852118959556	1.779999388024982	160	189
ENSG00000270659	0.3706890902770889	5.1589282623745145	2.483674443887196e-07	0.00014731914963916903	0.8430990509716821	0.47240996069459323	160	189
TUBBP10	-0.21974726595434935	-5.129646419812017	2.9028690651244915e-07	0.00016798407668083826	0.17997811592693974	0.3997253818812891	160	189
PTGER4	-0.6966965358688704	-5.1131421085495194	3.168437521239298e-07	0.00017898654435457995	1.0631492459897294	1.7598457818585997	160	189
INSYN1-AS1	0.30707087334683353	5.096105400149521	3.467121416633745e-07	0.0001828020505134494	0.6875944524196451	0.3805235790728116	160	189
GNG12	0.7520627615186095	5.10409135721202	3.323876818228655e-07	0.0001828020505134494	4.4318680107700725	3.679805249251463	160	189
MAPK13	-0.4119635159634214	-5.097170194424521	3.4476834409602475e-07	0.0001828020505134494	0.9374842272737016	1.349447743237123	160	189
THEMIS	-0.2418271645267214	-5.083860265987022	3.6984006857032625e-07	0.00019075707536738175	0.15251715404935076	0.39434431857607216	160	189
ENSG00000239922	0.7590778044708648	5.072679926099523	3.9225195802572443e-07	0.00019388687408579872	2.065464715134744	1.306386910663879	160	189
ENSG00000237788	-0.21498465858327223	-5.074809514649523	3.878843741755844e-07	0.00019388687408579872	0.2272897640465333	0.44227442262980554	160	189
DFFBP1	-0.29470224747253404	-5.059902394799524	4.194711469285295e-07	0.0002031096414699243	0.4053513296434669	0.7000535771160009	160	189
TAS2R8	-0.1491924444564806	-5.031685346512027	4.86186756853968e-07	0.0002213030586957545	0.1312472462544358	0.2804396907109164	160	189
MAML3	-0.5587760842227285	-5.028490963687028	4.943548053137903e-07	0.0002213030586957545	1.3888121876241333	1.9475882718468618	160	189
MEFV	-0.38695024864168465	-5.034347332199527	4.794796211182728e-07	0.0002213030586957545	0.31535652416775534	0.70230677280944	160	189
ENSG00000241231	0.6441276338569476	5.030620552237027	4.888948694770079e-07	0.0002213030586957545	1.2899198515311832	0.6457922176742356	160	189
HRH2	-0.5742133726358507	-4.9858991926870315	6.167429693615389e-07	0.00023296705171006694	1.097562579105578	1.6717759517414288	160	189
ENSG00000248161	0.630020247808319	4.976316044212032	6.480580549972359e-07	0.00023296705171006694	1.8446123720871967	1.2145921242788777	160	189
ENSG00000261553	-0.28962035272432063	-4.991755561199531	5.983294757427871e-07	0.00023296705171006694	0.5859470975310611	0.8755674502553817	160	189
ATP2C2-AS1	-0.1701793340621493	-4.99654713543703	5.836591430163907e-07	0.00023296705171006694	0.2167053580082307	0.38688469207038	160	189
SLAMF7	-0.3954202964618112	-4.989625972649531	6.049631267046607e-07	0.00023296705171006694	0.31477075517476394	0.7101910516365751	160	189
CHCHD2	1.0830054956372193	4.99654713543703	5.836591430163907e-07	0.00023296705171006694	7.399201497347521	6.316196001710302	160	189
RNF152P1	-0.19684639971254894	-5.010921858149529	5.416990924711484e-07	0.00023296705171006694	0.19412174309721866	0.3909681428097676	160	189
REL	-0.4866339756611957	-4.99654713543703	5.836591430163907e-07	0.00023296705171006694	1.1998816521821787	1.6865156278433744	160	189
ENSG00000223969	0.5748022268351549	4.977380838487032	6.445043465586053e-07	0.00023296705171006694	1.58227319776402	1.0074709709288652	160	189
RPS14	0.7818209677251735	4.9869639869620315	6.133549281805983e-07	0.00023296705171006694	8.716532481866958	7.934711514141784	160	189
SSH1	-0.5520799040684294	-4.982704809862032	6.270156707177676e-07	0.00023296705171006694	2.7206030347991415	3.272682938867571	160	189
GPR21	-0.6023399798663847	-5.0002739153995295	5.724892304659335e-07	0.00023296705171006694	0.6917109791725868	1.2940509590389715	160	189
ENSG00000287158	0.40992426874303356	4.976848441349532	6.462788466610192e-07	0.00023296705171006694	0.8031213811727106	0.39319711242967703	160	189
ENSG00000288637	-0.720841218426969	-4.966732895737033	6.809026884546654e-07	0.00023970294187189707	1.0767656209918357	1.7976068394188047	160	189
FMN1	-0.7481461633944728	-4.956617350124534	7.173104978885902e-07	0.00023970294187189707	1.2459037237066626	1.9940498871011354	160	189
H2BC4	-1.357214567345233	-4.958746938674534	7.09493142458939e-07	0.00023970294187189707	4.740565960778539	6.097780528123772	160	189
CASS4	-0.4635209340135029	-4.956617350124534	7.173104978885902e-07	0.00023970294187189707	0.7502963417087887	1.2138172757222916	160	189
TMPPE	-0.5628163032440994	-4.960344130087034	7.036840607987926e-07	0.00023970294187189707	1.1567447697631001	1.7195610730071995	160	189
HUS1B	-0.3212314156070134	-4.9534229672995345	7.291923325158933e-07	0.00024028912890655674	0.3060085282029673	0.6272399438099807	160	189
RHOF	-0.4700731172924051	-4.944904613099535	7.618115718255325e-07	0.0002442532615288187	1.7416302069084904	2.2117033242008954	160	189
FGD6	-0.7097419211880223	-4.947034201649535	7.535274080261445e-07	0.0002442532615288187	1.5344409360912807	2.244182857279303	160	189
ENSG00000288937	0.3202980758584837	4.922011536187037	8.565916327363254e-07	0.00026394146854937737	0.8321328268823471	0.5118347510238634	160	189
URB1-AS1	0.6992808700779125	4.924673521874537	8.45013159889163e-07	0.00026394146854937737	2.540439785861343	1.8411589157834303	160	189
NAT14	0.6045618919666835	4.922011536187037	8.565916327363254e-07	0.00026394146854937737	4.535163487773383	3.9306015958066998	160	189
ATP5MGL	-0.20042226337432575	-4.9188171533620375	8.706875374020484e-07	0.00026484528862052563	0.2148925119109978	0.41531477528532357	160	189
TAS2R60	-0.2257133636625384	-4.912960784849538	8.971122549272792e-07	0.0002660610670050578	0.1277165892073751	0.3534299528699135	160	189
SNHG19	0.849450376536323	4.913493181987038	8.946784539887176e-07	0.0002660610670050578	5.001140519989177	4.151690143452854	160	189
ZNF124	-0.6414428719207237	-4.906572019199539	9.268196652367777e-07	0.00027147806638775046	2.7678157092823836	3.4092585812031073	160	189
ZFHX3	-0.7147553119954961	-4.901248047824539	9.522972526099238e-07	0.0002755390806758909	1.9142699470792952	2.6290252590747913	160	189
IMMP1L	0.8518558414281765	4.89432688503704	9.86427630689235e-07	0.00028197568633413	4.53520958415772	3.683353742729543	160	189
ENSG00000257954	-0.3454031224760584	-4.882614148012041	1.0468859974466227e-06	0.0002888188043653322	0.42069798396974545	0.7661011064458039	160	189
RGS17P1	-0.2603444904530882	-4.886873325112041	1.024499639123988e-06	0.0002888188043653322	0.28125121032001915	0.5415957007731074	160	189
ENSG00000173862	-0.4140270711383843	-4.883678942287041	1.0412456716846208e-06	0.0002888188043653322	0.38349604275884047	0.7975231138972247	160	189
PCDHGB1	-0.806855055146964	-4.879952162324541	1.0611157590378895e-06	0.0002893796838957812	1.9001624083747868	2.7070174635217508	160	189
IRF4	-0.3053691818570548	-4.876757779499542	1.0784372710404e-06	0.00029076139423527876	0.2590822146317772	0.564451396488832	160	189
GPR171	-0.271701827565941	-4.870901410987042	1.1109026403222089e-06	0.0002927330392105566	0.1278579924535555	0.3995598200194965	160	189
ENSG00000223599	-0.42705846674193915	-4.868239425299542	1.1259686354403442e-06	0.0002927330392105566	0.4960941236167554	0.9231525903586946	160	189
