ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Myeloid-dominant	GO:CC	GO:0022626	cytosolic ribosome	1.6933836178977554e-65	114	161	45	0.2795031055900621	0.39473684210526316
Myeloid-dominant	REAC	REAC:R-HSA-156902	Peptide chain elongation	7.902614071747232e-58	90	161	45	0.2795031055900621	0.5
Myeloid-dominant	REAC	REAC:R-HSA-156842	Eukaryotic Translation Elongation	1.0910656514969302e-56	94	161	45	0.2795031055900621	0.4787234042553192
Myeloid-dominant	REAC	REAC:R-HSA-192823	Viral mRNA Translation	7.17326998679708e-56	90	161	44	0.2732919254658385	0.4888888888888889
Myeloid-dominant	REAC	REAC:R-HSA-72764	Eukaryotic Translation Termination	9.108313982289477e-55	94	161	44	0.2732919254658385	0.46808510638297873
Myeloid-dominant	REAC	REAC:R-HSA-2408557	Selenocysteine synthesis	9.108313982289477e-55	94	161	44	0.2732919254658385	0.46808510638297873
Myeloid-dominant	REAC	REAC:R-HSA-72689	Formation of a pool of free 40S subunits	1.3323225977794325e-54	102	161	45	0.2795031055900621	0.4411764705882353
Myeloid-dominant	REAC	REAC:R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	1.3323225977794325e-54	102	161	45	0.2795031055900621	0.4411764705882353
Myeloid-dominant	GO:CC	GO:0044391	ribosomal subunit	1.8387231056099856e-54	184	161	45	0.2795031055900621	0.24456521739130435
Myeloid-dominant	REAC	REAC:R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	3.0672558020355816e-54	96	161	44	0.2732919254658385	0.4583333333333333
Myeloid-dominant	REAC	REAC:R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	2.739761915637541e-52	112	161	45	0.2795031055900621	0.4017857142857143
Myeloid-dominant	REAC	REAC:R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	4.505653478043366e-52	113	161	45	0.2795031055900621	0.39823008849557523
