ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Immune-desert	GO:BP	GO:0006396	RNA processing	1.409881317402446e-40	3319	108	82	0.7592592592592593	0.02470623681831877
Immune-desert	GO:CC	GO:0005730	nucleolus	9.494296826970858e-32	2015	163	74	0.4539877300613497	0.03672456575682382
Immune-desert	GO:BP	GO:0032774	RNA biosynthetic process	7.573375410059222e-20	6627	106	83	0.7830188679245284	0.01252452089935114
Immune-desert	GO:BP	GO:0141187	nucleic acid biosynthetic process	2.4634421513219233e-19	6735	106	83	0.7830188679245284	0.012323682256867112
Immune-desert	GO:BP	GO:0016070	RNA metabolic process	7.1182697921570055e-19	6834	106	83	0.7830188679245284	0.012145156570090724
Immune-desert	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	5.797419260653771e-18	7035	106	83	0.7830188679245284	0.01179815209665956
Immune-desert	GO:BP	GO:0090304	nucleic acid metabolic process	2.1945945528081892e-16	7401	106	83	0.7830188679245284	0.011214700716119443
Immune-desert	GO:BP	GO:0006139	nucleobase-containing compound metabolic process	3.8369196911375104e-14	7964	106	83	0.7830188679245284	0.010421898543445504
Immune-desert	GO:MF	GO:0036002	pre-mRNA binding	4.6953140048530275e-12	293	24	11	0.4583333333333333	0.03754266211604096
Immune-desert	GO:BP	GO:0000245	spliceosomal complex assembly	4.446212814092199e-11	332	24	11	0.4583333333333333	0.03313253012048193
Immune-desert	GO:BP	GO:0010467	gene expression	8.603360962681673e-10	9232	106	83	0.7830188679245284	0.00899046793760832
Immune-desert	GO:MF	GO:0030627	pre-mRNA 5'-splice site binding	3.77299832477635e-09	178	33	9	0.2727272727272727	0.05056179775280899
Immune-desert	GO:CC	GO:0005685	U1 snRNP	6.240426240501967e-09	135	20	7	0.35	0.05185185185185185
Immune-desert	GO:BP	GO:0009059	macromolecule biosynthetic process	1.133561987312326e-08	9605	106	83	0.7830188679245284	0.00864133263925039
Immune-desert	GO:BP	GO:0000395	mRNA 5'-splice site recognition	1.1898867630488703e-08	182	33	9	0.2727272727272727	0.04945054945054945
Immune-desert	GO:BP	GO:0045292	mRNA cis splicing, via spliceosome	3.623842090390089e-08	206	33	9	0.2727272727272727	0.043689320388349516
Immune-desert	GO:BP	GO:0006376	mRNA splice site recognition	3.9516949460813455e-08	208	33	9	0.2727272727272727	0.04326923076923077
Immune-desert	GO:CC	GO:0043232	intracellular membraneless organelle	4.2331729207381744e-08	7128	163	92	0.5644171779141104	0.012906846240179574
Immune-desert	GO:CC	GO:0043228	membraneless organelle	4.2331729207381744e-08	7128	163	92	0.5644171779141104	0.012906846240179574
Immune-desert	GO:CC	GO:0031981	nuclear lumen	1.2505259061079718e-07	5622	106	57	0.5377358490566038	0.010138740661686232
Immune-desert	KEGG	KEGG:03008	Ribosome biogenesis in eukaryotes	1.3944196878748267e-07	140	129	15	0.11627906976744186	0.10714285714285714
Immune-desert	GO:CC	GO:0005634	nucleus	1.4843092377653593e-07	10153	106	80	0.7547169811320755	0.00787944449916281
Immune-desert	GO:CC	GO:0097525	spliceosomal snRNP complex	7.077810117956315e-07	1444	77	22	0.2857142857142857	0.015235457063711912
Immune-desert	KEGG	KEGG:03040	Spliceosome	7.37550151074275e-07	199	74	13	0.17567567567567569	0.06532663316582915
Immune-desert	GO:CC	GO:0030532	small nuclear ribonucleoprotein complex	7.940858191294874e-07	1453	77	22	0.2857142857142857	0.015141087405368204
Immune-desert	GO:CC	GO:0120114	Sm-like protein family complex	9.245045118289896e-07	1465	77	22	0.2857142857142857	0.015017064846416382
Immune-desert	GO:BP	GO:0009058	biosynthetic process	6.75217957439275e-06	10639	106	83	0.7830188679245284	0.007801485101983269
Immune-desert	GO:CC	GO:1990904	ribonucleoprotein complex	1.467318448625746e-05	2712	77	28	0.36363636363636365	0.01032448377581121
Immune-desert	GO:BP	GO:0022618	protein-RNA complex assembly	4.7196957610017785e-05	1576	77	22	0.2857142857142857	0.013959390862944163
Immune-desert	GO:BP	GO:0071826	protein-RNA complex organization	5.2264929480676514e-05	1585	77	22	0.2857142857142857	0.0138801261829653
Immune-desert	KEGG	KEGG:03010	Ribosome	5.692366830274891e-05	190	129	14	0.10852713178294573	0.07368421052631578
Immune-desert	GO:BP	GO:0022613	ribonucleoprotein complex biogenesis	0.00016171885799124602	1841	77	23	0.2987012987012987	0.012493210211841391
Immune-desert	GO:BP	GO:0000398	mRNA splicing, via spliceosome	0.0001683014017612795	1693	77	22	0.2857142857142857	0.01299468399291199
Immune-desert	GO:BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	0.0001683014017612795	1693	77	22	0.2857142857142857	0.01299468399291199
Immune-desert	GO:BP	GO:0000375	RNA splicing, via transesterification reactions	0.00017542787835689405	1697	77	22	0.2857142857142857	0.01296405421331762
Immune-desert	GO:CC	GO:0043233	organelle lumen	0.00019280509877252225	6791	106	57	0.5377358490566038	0.008393461934913856
Immune-desert	GO:CC	GO:0070013	intracellular organelle lumen	0.00019280509877252225	6791	106	57	0.5377358490566038	0.008393461934913856
Immune-desert	GO:CC	GO:0031974	membrane-enclosed lumen	0.00019280509877252225	6791	106	57	0.5377358490566038	0.008393461934913856
