ecotype	gene	log2FC	q_BH
Immune-desert	RNVU1-7	4.434493474091741	1.5392878139819215e-07
Immune-desert	RNU4-2	4.13628364201285	3.473937256845515e-09
Immune-desert	RNVU1-18	4.119315018662721	2.1018568241622374e-08
Immune-desert	SNORA63	3.955194691117706	4.255333656380845e-06
Immune-desert	RNU1-1	3.9181103369911376	1.5614176531367988e-08
Immune-desert	SNORA68	3.8509474171783293	6.174434392926112e-06
Immune-desert	SNORA48	3.837198174622751	0.0005888840021663836
Immune-desert	RNY1	3.793516721737936	2.6327651630090833e-05
Immune-desert	SNORA49	3.758608064364269	4.853623473352911e-06
Immune-desert	RNU1-3	3.745936428503856	6.720069994119241e-08
Immune-desert	RNU1-28P	3.725685392791954	1.8137224145268238e-07
Immune-desert	RNU4-1	3.6561865335653767	6.979775425822293e-09
Immune-desert	RNU1-4	3.505587448880916	1.6936869758576727e-07
Immune-desert	RPPH1	3.5039755648690196	1.742020870176293e-08
Immune-desert	MIR3648-1	3.472504624761778	6.299937256977094e-10
Immune-desert	RNY3	3.4549391814804786	0.0005888840021663836
Immune-desert	RNU2-2P	3.4446549107209306	4.922914957126205e-08
Immune-desert	MIR3648-2	3.4410403375151235	2.382888864421773e-09
Immune-desert	SNORA70	3.4392279966656893	3.349266125557962e-06
Immune-desert	SNORA79B	3.429783721968353	6.265299281825813e-09
Immune-desert	RNU1-2	3.4088524328691667	7.454621513973713e-07
Immune-desert	SNORD3D	3.3859741468586613	7.411307477618565e-07
Immune-desert	RNU12	3.3759872072266686	1.0247115687088678e-06
Immune-desert	RNVU1-29	3.363954191726581	5.054010062157099e-07
Immune-desert	RNU1-27P	3.335145563692093	8.082741656479493e-07
Immune-desert	U2	3.292172668025877	4.51799880032368e-10
Immune-desert	U1	3.285543050994498	8.342736321724796e-07
Immune-desert	SNORD13	3.2773206876900294	0.0001525841112674178
Immune-desert	SNORA54	3.2656470978891634	0.0005222020222652554
Immune-desert	RNU2-1	3.2646533408234304	3.8739670117057064e-10
Immune-desert	ENSG00000270103	3.2364135921940553	9.547757660723717e-08
Immune-desert	SNORA63D	3.2130082522737955	2.8353855187866994e-07
Immune-desert	SNORD10	3.1961124859124004	5.330536593433855e-05
Immune-desert	RN7SK	3.192555043309314	2.7851008713605073e-11
Immune-desert	SNORA7A	3.1037284043778364	1.734111798823256e-06
Immune-desert	ENSG00000259001	3.0932037077664423	2.0022307864411804e-08
Immune-desert	RN7SL4P	3.0340367941195643	2.4011133049574415e-08
Immune-desert	SNORA31B	3.019092359833011	4.274333612387929e-08
Immune-desert	SNORA2C	2.992647704231822	0.0005662716006072366
Immune-desert	SNORD94	2.988595943295195	2.7503128027945183e-05
Immune-desert	RNU6ATAC	2.96737405660163	1.27218406574097e-05
Immune-desert	SNORA7B	2.7542431791518402	4.1937095567496095e-06
Immune-desert	SNORA50B	2.7397524124124617	8.239207569066966e-07
Immune-desert	SNORA17B	2.7317035378673094	0.000559536331764074
Immune-desert	RNU5B-1	2.713899630236987	7.511505898374611e-05
