feature	family	H	df	p	n	epsilon_sq	q_BH
LM22_Mast cells resting	LM22	35.8724382860306	2	1.623300789901873e-08	349	0.0978972204798572	3.571261737784121e-07
LM22_Macrophages M1	LM22	29.47311262180104	2	3.981025064612631e-07	349	0.079402059600581	4.379127571073894e-06
LM22_T cells follicular helper	LM22	23.59277032797741	2	7.531734751587387e-06	349	0.0624068506588942	5.5232721511640834e-05
LM22_Monocytes	LM22	17.69118785355647	2	0.0001440148805206	349	0.0453502539120129	0.0007920818428635
LM22_NK cells activated	LM22	12.070831520447433	2	0.0023925016135347	349	0.0291064494810619	0.0105270070995527
LM22_Mast cells activated	LM22	11.546068373807946	2	0.003110305932955	349	0.0275897929878842	0.0114044550875019
LM22_Macrophages M2	LM22	7.674866830921824	2	0.0215488373435998	349	0.0164013492223174	0.0677249173655994
LM22_T cells CD4 naive	LM22	6.996888955627471	2	0.0302443926746877	349	0.014441875594299	0.0831720798553913
LM22_T cells regulatory (Tregs)	LM22	6.643408088450302	2	0.0360912781897657	349	0.0134202545908968	0.0882231244638717
LM22_T cells gamma delta	LM22	6.158109718886306	2	0.046002715140422	349	0.0120176581470702	0.0989907687084471
LM22_B cells naive	LM22	5.996890828071832	2	0.0498645268378669	349	0.0115517075955833	0.0989907687084471
LM22_B cells memory	LM22	5.837728964269405	2	0.0539949647500621	349	0.0110917022088711	0.0989907687084471
LM22_NK cells resting	LM22	4.611781907995263	2	0.0996699597338405	349	0.0075485026242637	0.1461826076096328
LM22_Eosinophils	LM22	4.684758478683039	2	0.0960987241526153	349	0.007759417568448	0.1461826076096328
LM22_Neutrophils	LM22	4.810502496184066	2	0.0902428194250293	349	0.008122839584347	0.1461826076096328
LM22_T cells CD4 memory resting	LM22	4.235142353655828	2	0.1203235184431908	349	0.0064599489990052	0.1654448378593874
LM22_T cells CD4 memory activated	LM22	3.395895071688684	2	0.18305886048821	349	0.0040343788199094	0.2368997018082718
LM22_Plasma cells	LM22	3.188253928984757	2	0.2030857522027609	349	0.0034342599103605	0.24821591935893
LM22_Dendritic cells activated	LM22	0.4064397914594754	2	0.816098765059809	349	-0.0046056653426026	0.8623194386280999
LM22_Macrophages M0	LM22	0.3298119536122018	2	0.8479734295100219	349	-0.0048271330820456	0.8623194386280999
LM22_T cells CD8	LM22	0.4030430513940439	2	0.81748598041517	349	-0.0046154825104218	0.8623194386280999
