axis	method	sample	z	ecotype
CD8 T cell	LM22	BS_00FD2KMP	0.40590930809012554	Immune-desert
CD8 T cell	LM22	BS_028YFYJ6	-0.11731930248359106	Myeloid-dominant
CD8 T cell	LM22	BS_052PZFMK	0.08293898822322074	Immune-desert
CD8 T cell	LM22	BS_056Q8577	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_08ST21QE	0.13052579859377714	Lymphocyte-inflamed
CD8 T cell	LM22	BS_0C7VZC0A	-0.6157502140518956	Myeloid-dominant
CD8 T cell	LM22	BS_0S8E7590	0.4824512812198397	Lymphocyte-inflamed
CD8 T cell	LM22	BS_0VXZCRJS	0.3408693409322538	Myeloid-dominant
CD8 T cell	LM22	BS_0XEBS3PG	-0.44614087508650063	Immune-desert
CD8 T cell	LM22	BS_0ZA67BBC	-0.6886379628435625	Myeloid-dominant
CD8 T cell	LM22	BS_12G04QJM	0.6686457527862771	Myeloid-dominant
CD8 T cell	LM22	BS_17ZSMXFH	0.5243170028966875	Immune-desert
CD8 T cell	LM22	BS_1A6MQ9ZA	-0.5642966279762461	Myeloid-dominant
CD8 T cell	LM22	BS_1D93Z575	-0.3031186588241921	Myeloid-dominant
CD8 T cell	LM22	BS_1EN5V3XW	-0.6402791599386096	Immune-desert
CD8 T cell	LM22	BS_223BM91B	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_25HNKZ79	-0.6232303827287161	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2853394H	1.031617896170173	Immune-desert
CD8 T cell	LM22	BS_297H8BT4	-0.40157837735081703	Myeloid-dominant
CD8 T cell	LM22	BS_29X4ZX6Q	1.078695781309422	Immune-desert
CD8 T cell	LM22	BS_2A5R9MEJ	-0.38265088239572115	Immune-desert
CD8 T cell	LM22	BS_2ARXK0TD	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2AV1H5TV	-0.5588253655730367	Myeloid-dominant
CD8 T cell	LM22	BS_2DMBCHNF	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2EN3X6HB	-0.03521127817234347	Myeloid-dominant
CD8 T cell	LM22	BS_2FEZWH1F	0.08993271584074725	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2HNXVFAS	-0.4039725425335114	Myeloid-dominant
CD8 T cell	LM22	BS_2JH1QMT1	0.10798618678149638	Myeloid-dominant
CD8 T cell	LM22	BS_2JP7RBMB	-0.4745631410500985	Myeloid-dominant
CD8 T cell	LM22	BS_2K01T8K6	-0.35984571737231374	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2PDS3MSS	2.083808959336505	Lymphocyte-inflamed
CD8 T cell	LM22	BS_2T5PJAW8	-0.8225392542525758	Myeloid-dominant
CD8 T cell	LM22	BS_2WANPFBJ	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_30F3Z9FS	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_30VC3R2Q	-0.05981799740208808	Myeloid-dominant
CD8 T cell	LM22	BS_30YWQ3FY	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_31MBRWC4	-0.20117716737659244	Lymphocyte-inflamed
CD8 T cell	LM22	BS_333KCNDP	0.15212630295950086	Lymphocyte-inflamed
CD8 T cell	LM22	BS_399RPKC9	-0.36103020614097664	Myeloid-dominant
CD8 T cell	LM22	BS_3AC3SRWH	-0.7940300329035044	Immune-desert
CD8 T cell	LM22	BS_3MS8WVNR	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_3ZPJAK9A	-0.6789081008886179	Myeloid-dominant
CD8 T cell	LM22	BS_45J79YTF	0.756334293594497	Immune-desert
CD8 T cell	LM22	BS_49BQS7Z6	-0.5109707986667004	Myeloid-dominant
CD8 T cell	LM22	BS_49CJNZ06	-0.5039501964597849	Myeloid-dominant
CD8 T cell	LM22	BS_4B0BAVTX	-0.7980559268720283	Myeloid-dominant
CD8 T cell	LM22	BS_4BM3F6XJ	1.3396706517264023	Myeloid-dominant
CD8 T cell	LM22	BS_4C6B11E4	-0.4552548363291354	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4GNN7J8E	-0.5078546520824467	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4KNBXM3C	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4Q3KRCZT	-0.41104322151384953	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4QW2S1Q8	0.034476090213850286	Lymphocyte-inflamed
CD8 T cell	LM22	BS_4T0HQ9QF	2.4791828341178648	Myeloid-dominant
CD8 T cell	LM22	BS_4V42BXBT	0.13238876743896402	Myeloid-dominant
CD8 T cell	LM22	BS_51RA1PGE	-0.2402743237758125	Myeloid-dominant
CD8 T cell	LM22	BS_52C576HH	-0.1923781714693196	Myeloid-dominant
CD8 T cell	LM22	BS_5965SFPZ	-0.07718205296304702	Immune-desert
CD8 T cell	LM22	BS_5EFYPZT0	-0.23177774436718077	Myeloid-dominant
CD8 T cell	LM22	BS_5G5BD2MD	-0.8478901110958259	Lymphocyte-inflamed
CD8 T cell	LM22	BS_5K95FX4C	0.31669011119629026	Lymphocyte-inflamed
CD8 T cell	LM22	BS_5KBXD2GQ	-0.06920261539183505	Myeloid-dominant
CD8 T cell	LM22	BS_5PXZ8F7W	2.5468786936979155	Myeloid-dominant
CD8 T cell	LM22	BS_5VPM0F36	-0.8696252436864575	Lymphocyte-inflamed
CD8 T cell	LM22	BS_62SW4CC5	-0.11758806693271717	Lymphocyte-inflamed
CD8 T cell	LM22	BS_65WPD3DA	-0.148624233249949	Myeloid-dominant
CD8 T cell	LM22	BS_68KX6A42	0.08921167300462612	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6DCSD5Y6	-0.7368497259489959	Immune-desert
CD8 T cell	LM22	BS_6H4Q24WA	0.31828845472007034	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6M2053M0	-0.7136204314273403	Myeloid-dominant
CD8 T cell	LM22	BS_6SY64H5J	0.34422713033069796	Lymphocyte-inflamed
CD8 T cell	LM22	BS_6VRG1XFB	1.7146213115459685	Myeloid-dominant
CD8 T cell	LM22	BS_6WP1FHTE	0.2907592534767035	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7327SDAQ	-0.2416450654962558	Myeloid-dominant
CD8 T cell	LM22	BS_75YRDXET	0.20408928718158556	Lymphocyte-inflamed
CD8 T cell	LM22	BS_77SBTNPN	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_7AEF4D4G	1.540927945667353	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7APCGCVF	1.5839787696545764	Myeloid-dominant
CD8 T cell	LM22	BS_7GJT4A6A	-0.4601999082313829	Immune-desert
CD8 T cell	LM22	BS_7GKWKGPH	0.4232590217528602	Lymphocyte-inflamed
CD8 T cell	LM22	BS_7PVJ6Q3D	0.1013762184901606	Immune-desert
CD8 T cell	LM22	BS_7WKNNRHK	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_84VZX732	-0.046770449103781996	Myeloid-dominant
CD8 T cell	LM22	BS_84XCR9GG	-0.8696252436864575	Myeloid-dominant
CD8 T cell	LM22	BS_8E8JKP01	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_8ERBDF7D	-0.8696252436864575	Immune-desert
CD8 T cell	LM22	BS_8JK9TXH2	0.46505853372896094	Myeloid-dominant
CD8 T cell	LM22	BS_8VD670NP	-0.2642289964556333	Myeloid-dominant
CD8 T cell	LM22	BS_8YWYN7VH	-0.6665984077263378	Lymphocyte-inflamed
CD8 T cell	LM22	BS_8ZE4Z9G5	-0.6207941061426497	Myeloid-dominant
CD8 T cell	LM22	BS_8ZY4GST0	-0.03390324645649657	Immune-desert
